Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	421.0	654.0	460.0	0.2	0.2	0.3	611730.0	174557.0	264237.0	171401.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	430.0	720.0	465.0	0.3	0.3	0.3	613394.0	165683.0	285084.0	161012.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	491.0	719.0	436.0	0.3	0.3	0.3	623140.0	176272.0	271673.0	173549.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	5203.0	9121.0	5056.0	0.3	0.3	0.3	5922413.0	1593221.0	2763397.0	1546415.0
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	541.0	847.0	508.0	0.3	0.3	0.3	687862.0	184171.0	323375.0	178420.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	568.0	904.0	529.0	0.3	0.3	0.3	739108.0	198711.0	345218.0	193178.0
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	642.0	1001.0	667.0	0.3	0.3	0.3	823206.0	231931.0	361354.0	227611.0
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	424.0	640.0	395.0	0.3	0.3	0.3	518887.0	138928.0	242887.0	135613.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	1390.0	2196.0	1428.0	0.3	0.3	0.3	1563345.0	427748.0	715670.0	414913.0
CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920_val_1	41.0	63.0	31.0	0.3	0.2	0.2	56689.0	15150.0	26732.0	14672.0
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	280.0	561.0	297.0	0.2	0.3	0.3	437382.0	117147.0	205808.0	113289.0
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	686.0	1131.0	624.0	0.3	0.3	0.3	818268.0	222956.0	376056.0	216815.0
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	1234.0	2153.0	1310.0	0.3	0.3	0.3	1585428.0	427389.0	736925.0	416417.0
CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42_val_1	74.0	187.0	51.0	0.3	0.4	0.2	104375.0	27710.0	49275.0	27078.0
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	508.0	1002.0	543.0	0.3	0.3	0.3	741271.0	197952.0	348150.0	193116.0
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	821.0	1425.0	823.0	0.3	0.3	0.3	968945.0	258775.0	454621.0	252480.0
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	681.0	1324.0	724.0	0.3	0.3	0.3	903355.0	242576.0	422202.0	235848.0
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	854.0	1363.0	751.0	0.3	0.3	0.3	999515.0	268795.0	466211.0	261541.0
