Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__14f60d1f84bc56cbc59242044bff626d	CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__14f60d1f84bc56cbc59242044bff626d.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6591988.0	0.0	150.0	43.0	90.10286971200055	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__f164da55fdd6293f0eb60cdb930d5667	CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__f164da55fdd6293f0eb60cdb930d5667.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64012423.0	0.0	150.0	43.0	86.8331981706887	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__18f0be171285e6efcc5460c6b604afa7	CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__18f0be171285e6efcc5460c6b604afa7.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64012423.0	0.0	150.0	43.0	87.71854650219272	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__c24f10115b1830c812bf872ff5b72a10	CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__c24f10115b1830c812bf872ff5b72a10.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6591988.0	0.0	150.0	43.0	89.28931167410022	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__1c28b50db1d4801909f71c39039953f9	CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__1c28b50db1d4801909f71c39039953f9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56970046.0	0.0	150.0	43.0	87.37213813669518	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__cf9b0fd7879be342be3e8d5acdf59bc8	CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__cf9b0fd7879be342be3e8d5acdf59bc8.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23909708.0	0.0	150.0	43.0	83.33587406389617	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__7ef8b8d274a82c67e320bee404a5c7a2	CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__7ef8b8d274a82c67e320bee404a5c7a2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56970046.0	0.0	150.0	43.0	87.48114197099174	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__f5e0413bde0d1770835e74c62d9d60d0	CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__f5e0413bde0d1770835e74c62d9d60d0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23909708.0	0.0	150.0	43.0	83.98566192957077	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__934f6d513cf2331b15a47a856ec43b34	CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__934f6d513cf2331b15a47a856ec43b34.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64079408.0	0.0	150.0	44.0	83.0482289050432	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__caf6a3584951531a74e1e4fc8c822fb4	CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__caf6a3584951531a74e1e4fc8c822fb4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5621531.0	0.0	150.0	44.0	87.27523889690455	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	warn
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__27004adf5e144397e6c400003d4777a0	CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__27004adf5e144397e6c400003d4777a0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5621531.0	0.0	150.0	44.0	86.22803406956106	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__feecf76c861c7bb5862b26aabf5a312d	CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__feecf76c861c7bb5862b26aabf5a312d.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64079408.0	0.0	150.0	44.0	84.42251538103356	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__e7f34a4ac2e973b22e5bbcfe1c3cb624	CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__e7f34a4ac2e973b22e5bbcfe1c3cb624.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32739809.0	0.0	150.0	44.0	82.45739240863847	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__fd9e19e805fe9819efaa18346e38e253	CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__fd9e19e805fe9819efaa18346e38e253.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51043310.0	0.0	150.0	44.0	86.1499768254813	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__4720b04b6d69cae5f718e55032a02be6	CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__4720b04b6d69cae5f718e55032a02be6.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51043310.0	0.0	150.0	44.0	86.48304263822061	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__8f2e02b9a54a9d2f2838ca2f2a054c76	CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__8f2e02b9a54a9d2f2838ca2f2a054c76.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32739809.0	0.0	150.0	44.0	83.31266399046989	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R1__57e7760e24434c23b62595ea90192ebb	CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R1__57e7760e24434c23b62595ea90192ebb.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67059858.0	0.0	150.0	43.0	87.35457419346079	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R2__5c19b4ccf40afd45bd91e85ad56c61c9	CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R2__5c19b4ccf40afd45bd91e85ad56c61c9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67059858.0	0.0	150.0	43.0	87.64841206056514	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R1__d7956aaf25d0ec2aacefda1ae5936d3a	CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R1__d7956aaf25d0ec2aacefda1ae5936d3a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74499827.0	0.0	150.0	43.0	86.29302220098309	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R2__6983a492a0e93699bdd19323cf181da1	CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R2__6983a492a0e93699bdd19323cf181da1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74499827.0	0.0	150.0	43.0	86.19781974034596	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__14cac890f722e9262e4b148354b2bd7a	CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__14cac890f722e9262e4b148354b2bd7a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57885205.0	0.0	150.0	44.0	84.56097802849152	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__19a5a33a0bd251154b611e44992a6766	CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__19a5a33a0bd251154b611e44992a6766.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17952252.0	0.0	150.0	45.0	78.80395158030683	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__1b5b8a023eb31c7b60b4a9aca0d1dc8f	CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__1b5b8a023eb31c7b60b4a9aca0d1dc8f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57885205.0	0.0	150.0	44.0	88.87189211411912	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__dcf0cd28474de1025a9cd46fa27be09d	CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__dcf0cd28474de1025a9cd46fa27be09d.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17952252.0	0.0	150.0	45.0	79.57496881909934	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R1__ba78eaf22c3d8410027c5bc383985234	CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R1__ba78eaf22c3d8410027c5bc383985234.fq.gz	Conventional base calls	Sanger / Illumina 1.9	72152290.0	0.0	150.0	43.0	88.15625426258052	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R2__6a081bc8cd6c97467b2f87daed8c8f1a	CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R2__6a081bc8cd6c97467b2f87daed8c8f1a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	72152290.0	0.0	150.0	43.0	92.15658878287287	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__736b23be33c6bdfbf0771708ab1de47c	DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__736b23be33c6bdfbf0771708ab1de47c.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65290406.0	0.0	150.0	43.0	84.78885349372844	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__cd6d5329da958a46377f66105457bc8a	DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__cd6d5329da958a46377f66105457bc8a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6403823.0	0.0	150.0	43.0	86.849976826236	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__3bd1ac92c333a663ce125a2ccffc81f6	DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__3bd1ac92c333a663ce125a2ccffc81f6.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65290406.0	0.0	150.0	43.0	84.91201855617153	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__a6b7ccfbaace9c73aab06aa051501676	DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__a6b7ccfbaace9c73aab06aa051501676.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6403823.0	0.0	150.0	43.0	87.96167787394388	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R1__53e303973449a3ae6adfa1874d45de1f	DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R1__53e303973449a3ae6adfa1874d45de1f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76034114.0	0.0	150.0	43.0	82.72332259220826	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R2__8a0d79353f30d1290f11a3768c9a9ff0	DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R2__8a0d79353f30d1290f11a3768c9a9ff0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76034114.0	0.0	150.0	43.0	83.77403274122808	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__6b5c0e2ba1b716f808097b914351ac30	DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__6b5c0e2ba1b716f808097b914351ac30.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64560529.0	0.0	150.0	43.0	82.05019136073126	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__7050beebd236513a470212f5ad0e6d41	DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__7050beebd236513a470212f5ad0e6d41.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6480716.0	0.0	150.0	43.0	87.22225343096687	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__02802987906b259f29f9456eaa7a316b	DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__02802987906b259f29f9456eaa7a316b.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64560529.0	0.0	150.0	43.0	82.83506823618988	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__037469ae2a6319659cc0da35377bcae4	DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__037469ae2a6319659cc0da35377bcae4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6480716.0	0.0	150.0	43.0	85.21596058122783	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__01a2d30f866619ead32f626c8fbc071a	DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__01a2d30f866619ead32f626c8fbc071a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26199515.0	0.0	150.0	44.0	81.97119157403404	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__2e82d806bc820b1867e7658be1a5a5ab	DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__2e82d806bc820b1867e7658be1a5a5ab.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54693901.0	0.0	150.0	44.0	85.04346426527391	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__746b41cee58703a10762f6def1b2f37c	DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__746b41cee58703a10762f6def1b2f37c.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26199515.0	0.0	150.0	44.0	82.75772029453124	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__f5a90b3fcad28cac34336aa8b1130584	DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__f5a90b3fcad28cac34336aa8b1130584.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54693901.0	0.0	150.0	44.0	89.47204177756443	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R1__8f327a12c7ec98c75720870d6237261b	DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R1__8f327a12c7ec98c75720870d6237261b.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68617020.0	0.0	150.0	42.0	88.64942019321923	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R2__1eb8ac96f3f701272143c417094d1741	DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R2__1eb8ac96f3f701272143c417094d1741.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68617020.0	0.0	150.0	42.0	92.08679182515802	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__4065d5ede631fd4682bed1c69a013d49	DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__4065d5ede631fd4682bed1c69a013d49.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61775214.0	0.0	150.0	43.0	87.89376018345591	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__50a27c60b974ed2d1ada3244e4f57afa	DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__50a27c60b974ed2d1ada3244e4f57afa.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12587457.0	0.0	150.0	43.0	88.4625119260941	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__81a40e8ca01dc7df9bd925afab08c13a	DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__81a40e8ca01dc7df9bd925afab08c13a.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12587457.0	0.0	150.0	43.0	88.11254700928465	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__b5017b285aabec11e836337f75e48a2e	DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__b5017b285aabec11e836337f75e48a2e.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61775214.0	0.0	150.0	43.0	92.06730909039582	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R1__03869dfbc1d30988c1aebf3b69790951	DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R1__03869dfbc1d30988c1aebf3b69790951.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67510896.0	0.0	150.0	42.0	81.5076201369577	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass	fail
DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R2__70a06ae00ccb1ba84ce0a867e1df425f	DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R2__70a06ae00ccb1ba84ce0a867e1df425f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67510896.0	0.0	150.0	42.0	82.3934492390262	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass	fail
DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R1__f1599820b82a3be0c7f06d68e4501aab	DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R1__f1599820b82a3be0c7f06d68e4501aab.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74839594.0	0.0	150.0	43.0	87.067288008216	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R2__de788dd46ac4d2420a6749778f7213b4	DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R2__de788dd46ac4d2420a6749778f7213b4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74839594.0	0.0	150.0	43.0	87.33408143864109	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__6b63ce77141947de9342f3169122ec29	DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__6b63ce77141947de9342f3169122ec29.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5813357.0	0.0	150.0	44.0	89.53538069385914	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
