Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__14f60d1f84bc56cbc59242044bff626d	9.897130287999445	43.0	150.0	0.0	6591988.0
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R1__f164da55fdd6293f0eb60cdb930d5667	13.166801829311297	43.0	150.0	0.0	64012423.0
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__18f0be171285e6efcc5460c6b604afa7	12.281453497807277	43.0	150.0	8.333333333333332	64012423.0
CH_18_R_18CH024_BL_ADL_M__SAMN25042295__R2__c24f10115b1830c812bf872ff5b72a10	10.710688325899781	43.0	150.0	8.333333333333332	6591988.0
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__1c28b50db1d4801909f71c39039953f9	12.627861863304815	43.0	150.0	0.0	56970046.0
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R1__cf9b0fd7879be342be3e8d5acdf59bc8	16.66412593610383	43.0	150.0	0.0	23909708.0
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__7ef8b8d274a82c67e320bee404a5c7a2	12.518858029008257	43.0	150.0	0.0	56970046.0
CH_18_R_18CH081_BL_ADL_M__SAMN25042296__R2__f5e0413bde0d1770835e74c62d9d60d0	16.014338070429233	43.0	150.0	0.0	23909708.0
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__934f6d513cf2331b15a47a856ec43b34	16.951771094956797	44.0	150.0	0.0	64079408.0
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R1__caf6a3584951531a74e1e4fc8c822fb4	12.724761103095446	44.0	150.0	0.0	5621531.0
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__27004adf5e144397e6c400003d4777a0	13.771965930438938	44.0	150.0	0.0	5621531.0
CH_19_R_19CH005_BL_ADL_M__SAMN25042297__R2__feecf76c861c7bb5862b26aabf5a312d	15.577484618966437	44.0	150.0	0.0	64079408.0
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__e7f34a4ac2e973b22e5bbcfe1c3cb624	17.54260759136153	44.0	150.0	0.0	32739809.0
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R1__fd9e19e805fe9819efaa18346e38e253	13.850023174518697	44.0	150.0	0.0	51043310.0
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__4720b04b6d69cae5f718e55032a02be6	13.51695736177939	44.0	150.0	0.0	51043310.0
CH_19_R_19CH008_BL_ADL_F__SAMN25042298__R2__8f2e02b9a54a9d2f2838ca2f2a054c76	16.687336009530114	44.0	150.0	0.0	32739809.0
CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R1__57e7760e24434c23b62595ea90192ebb	12.645425806539208	43.0	150.0	0.0	67059858.0
CH_19_R_19CH091_BL_ADL_M__SAMN25042299__R2__5c19b4ccf40afd45bd91e85ad56c61c9	12.351587939434864	43.0	150.0	0.0	67059858.0
CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R1__d7956aaf25d0ec2aacefda1ae5936d3a	13.706977799016911	43.0	150.0	0.0	74499827.0
CH_20_R_20CH003_BL_ADL_M__SAMN25042300__R2__6983a492a0e93699bdd19323cf181da1	13.802180259654037	43.0	150.0	0.0	74499827.0
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__14cac890f722e9262e4b148354b2bd7a	15.439021971508481	44.0	150.0	8.333333333333332	57885205.0
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R1__19a5a33a0bd251154b611e44992a6766	21.19604841969317	45.0	150.0	8.333333333333332	17952252.0
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__1b5b8a023eb31c7b60b4a9aca0d1dc8f	11.12810788588088	44.0	150.0	8.333333333333332	57885205.0
CH_20_R_20CH005_BL_ADL_M__SAMN25042301__R2__dcf0cd28474de1025a9cd46fa27be09d	20.42503118090066	45.0	150.0	8.333333333333332	17952252.0
CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R1__ba78eaf22c3d8410027c5bc383985234	11.843745737419482	43.0	150.0	0.0	72152290.0
CH_20_R_20CH006_BL_ADL_F__SAMN25042302__R2__6a081bc8cd6c97467b2f87daed8c8f1a	7.843411217127127	43.0	150.0	0.0	72152290.0
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__736b23be33c6bdfbf0771708ab1de47c	15.211146506271561	43.0	150.0	0.0	65290406.0
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R1__cd6d5329da958a46377f66105457bc8a	13.150023173763998	43.0	150.0	0.0	6403823.0
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__3bd1ac92c333a663ce125a2ccffc81f6	15.087981443828468	43.0	150.0	0.0	65290406.0
DE_19_R_19DE043_BL_ADL_M__SAMN25042284__R2__a6b7ccfbaace9c73aab06aa051501676	12.038322126056116	43.0	150.0	0.0	6403823.0
DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R1__53e303973449a3ae6adfa1874d45de1f	17.276677407791738	43.0	150.0	8.333333333333332	76034114.0
DE_19_R_19DE044_BL_ADL_F__SAMN25042285__R2__8a0d79353f30d1290f11a3768c9a9ff0	16.225967258771917	43.0	150.0	8.333333333333332	76034114.0
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__6b5c0e2ba1b716f808097b914351ac30	17.94980863926874	43.0	150.0	8.333333333333332	64560529.0
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R1__7050beebd236513a470212f5ad0e6d41	12.777746569033127	43.0	150.0	8.333333333333332	6480716.0
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__02802987906b259f29f9456eaa7a316b	17.164931763810117	43.0	150.0	8.333333333333332	64560529.0
DE_19_R_19DE054_BL_ADL_M__SAMN25042286__R2__037469ae2a6319659cc0da35377bcae4	14.784039418772167	43.0	150.0	8.333333333333332	6480716.0
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__01a2d30f866619ead32f626c8fbc071a	18.028808425965963	44.0	150.0	8.333333333333332	26199515.0
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R1__2e82d806bc820b1867e7658be1a5a5ab	14.956535734726089	44.0	150.0	8.333333333333332	54693901.0
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__746b41cee58703a10762f6def1b2f37c	17.24227970546876	44.0	150.0	16.666666666666664	26199515.0
DE_19_R_19DE057_BL_ADL_F__SAMN25042287__R2__f5a90b3fcad28cac34336aa8b1130584	10.527958222435572	44.0	150.0	8.333333333333332	54693901.0
DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R1__8f327a12c7ec98c75720870d6237261b	11.350579806780772	42.0	150.0	0.0	68617020.0
DE_19_R_19DE108_BL_ADL_M__SAMN25042288__R2__1eb8ac96f3f701272143c417094d1741	7.913208174841984	42.0	150.0	0.0	68617020.0
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__4065d5ede631fd4682bed1c69a013d49	12.10623981654409	43.0	150.0	0.0	61775214.0
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R1__50a27c60b974ed2d1ada3244e4f57afa	11.537488073905905	43.0	150.0	0.0	12587457.0
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__81a40e8ca01dc7df9bd925afab08c13a	11.887452990715346	43.0	150.0	0.0	12587457.0
DE_19_R_19DE110_BL_ADL_F__SAMN25042289__R2__b5017b285aabec11e836337f75e48a2e	7.932690909604176	43.0	150.0	0.0	61775214.0
DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R1__03869dfbc1d30988c1aebf3b69790951	18.492379863042302	42.0	150.0	8.333333333333332	67510896.0
DE_20_R_20DE008_BL_ADL_F__SAMN25042290__R2__70a06ae00ccb1ba84ce0a867e1df425f	17.606550760973803	42.0	150.0	8.333333333333332	67510896.0
DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R1__f1599820b82a3be0c7f06d68e4501aab	12.932711991784004	43.0	150.0	0.0	74839594.0
DE_20_R_20DE071_BL_ADL_M__SAMN25042291__R2__de788dd46ac4d2420a6749778f7213b4	12.665918561358907	43.0	150.0	0.0	74839594.0
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__6b63ce77141947de9342f3169122ec29	10.464619306140861	44.0	150.0	0.0	5813357.0
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R1__d6e262d98ae89fae51e6fff5787b13e0	15.149228061772547	44.0	150.0	0.0	64423651.0
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__67509e5cd5713300ada5494706f765af	12.066963513525266	44.0	150.0	0.0	5813357.0
DE_20_R_20DE078_BL_ADL_M__SAMN25042292__R2__cb4a2e89649e1aa5e903b77d722081a0	14.565601100276638	44.0	150.0	0.0	64423651.0
DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R1__31c01b19663d5fcd7b6ffd6669d76ee9	19.345385508451457	44.0	150.0	8.333333333333332	80390439.0
DE_20_R_20DE139_BL_ADL_F__SAMN25042293__R2__802024c80ab2c4e7c968d78c09f97d62	18.979424159407216	44.0	150.0	8.333333333333332	80390439.0
DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R1__2559c64d4b111b84ea69e1d00df11ecc	13.59015312393673	43.0	150.0	8.333333333333332	70203147.0
DE_20_R_20DE145_BL_ADL_M__SAMN25042294__R2__b292eb8a0d9c8181fa2abc46e9755407	11.202852884074161	43.0	150.0	0.0	70203147.0
FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R1__701a5c2c50cd9e1c5e142c9dd18f6ea2	18.274885640802736	43.0	150.0	0.0	73162272.0
FI_18_R_18FI002_BL_ADL_M__SAMN25042276__R2__9aa2e32dc0bc2b101ba12883a97b14d4	16.08961800529316	43.0	150.0	0.0	73162272.0
FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R1__4ce907ac76c3a9559c4f8e120e5735c9	17.749870983428337	43.0	150.0	0.0	73341260.0
FI_18_R_18FI020_BL_ADL_F__SAMN25042277__R2__21bafaa0b659ecc2a59426e29a856afc	15.289849211124377	43.0	150.0	0.0	73341260.0
FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R1__3737fe6587c5d1fdffd6f9126d25c83f	16.79006879007872	43.0	150.0	0.0	82738025.0
FI_18_R_18FI082_BL_ADL_M__SAMN25042278__R2__bdc3d53712714cb6c1f7eae40edea1d7	14.474960804129708	43.0	150.0	0.0	82738025.0
FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R1__e75f95988e6678bc7fa72f97eb5a7e0f	18.523780466991695	42.0	150.0	0.0	88369010.0
FI_19_R_19FI037_BL_ADL_M__SAMN25042279__R2__3d331f8ce8692bb03577a77f5c1dd4b2	17.123780883182278	42.0	150.0	0.0	88369010.0
FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R1__89821127d0ffd190c185296fde18b10f	18.772052789924558	43.0	150.0	0.0	82706229.0
FI_19_R_19FI052_BL_ADL_F__SAMN25042280__R2__7711638f920f4af20bcb06d26bead380	17.99152415287108	43.0	150.0	0.0	82706229.0
FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R1__d8230e3a8e851d90864463eb98bab007	20.42673645024064	43.0	150.0	8.333333333333332	80931473.0
FI_19_R_19FI067_BL_ADL_M__SAMN25042281__R2__4e61539e78ac862754ff89766a95b123	20.031614401696004	43.0	150.0	8.333333333333332	80931473.0
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__45defc599ae3bffc7d50293daea90282	16.890657269266995	43.0	150.0	8.333333333333332	65954622.0
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R1__84390c8588ef79858d3495634a3461b4	14.633226835563036	43.0	150.0	16.666666666666664	2811775.0
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__9a09a7a56ecddc0a9c3e984541a16c14	14.615083814904466	43.0	150.0	8.333333333333332	65954622.0
FI_19_R_19FI092_BL_ADL_M__SAMN25042282__R2__de2d09169950f691f15e70d0ac5223b5	13.807677549126936	43.0	150.0	8.333333333333332	2811775.0
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__89c48ba21d49ebcd102d0a6e177825a5	15.614499803004918	42.0	150.0	0.0	65560840.0
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R1__aefa27b1daa5ee509f355fa1ceaf3877	13.08843793850886	42.0	150.0	8.333333333333332	2638893.0
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__2b0465e6695d9727aa8913b1d0fc9ea6	12.674416978390738	41.0	150.0	0.0	2638893.0
FI_19_R_19FI106_BL_ADL_M__SAMN25042283__R2__c5134034d3a5cf770d2b5ec41387fe3b	15.209331588000424	42.0	150.0	0.0	65560840.0
