Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454	CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27940590.0	0.0	150.0	35.0	26.3603596330571	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed	CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27940590.0	0.0	150.0	37.0	19.141209955027293	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120	CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24379031.0	0.0	150.0	35.0	26.283112393765172	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0	CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24379031.0	0.0	150.0	36.0	22.751831897763537	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e	CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29695724.0	0.0	150.0	34.0	27.036742497375915	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74	CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29695724.0	0.0	150.0	37.0	19.935296973571447	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e	CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23966900.0	0.0	150.0	34.0	26.772635057034094	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e	CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23966900.0	0.0	150.0	36.0	23.395290712715877	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2	CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26228149.0	0.0	150.0	35.0	25.425504199418413	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc	CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26228149.0	0.0	150.0	36.0	21.65338830971579	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
