Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair1.truncated	CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	54302922.0	0.0	150.0	43.0	88.45107716497836	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair2.truncated	CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	54302922.0	0.0	149-150	43.0	89.31254007475124	149.99999885825665	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	fail
CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair1.truncated	CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	5645045.0	0.0	149-150	43.0	90.85639976908192	149.9998216134681	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair2.truncated	CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	5645045.0	0.0	131-150	43.0	90.17545087458451	149.9997769725485	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	fail
CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair1.truncated	CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	49434531.0	0.0	150.0	42.0	88.27110911974981	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair2.truncated	CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	49434531.0	0.0	148-150	42.0	88.56601416465682	149.99999866490086	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair1.truncated	CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	20969997.0	0.0	150.0	43.0	83.93937737682258	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair2.truncated	CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	20969997.0	0.0	148-150	43.0	84.76196192243805	149.999990939436	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair1.truncated	CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	52112813.0	0.0	150.0	44.0	86.8407932078826	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair2.truncated	CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	52112813.0	0.0	149-150	44.0	88.08248488276391	149.99999869513857	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair1.truncated	CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	4614251.0	0.0	149-150	43.0	89.60959761850759	149.99982554048316	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass	pass
CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair2.truncated	CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair2.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	4614251.0	0.0	131-150	44.0	89.25402448853956	149.99978739778135	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass	pass
CH_19_R_19CH008_BL_ADL_F__SRR21484677.pair1.truncated	CH_19_R_19CH008_BL_ADL_F__SRR21484677.pair1.truncated.gz	Conventional base calls	Sanger / Illumina 1.9	26966022.0	0.0	150.0	44.0	84.26003321313928	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass	pass
