Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair1.truncated	11.548922835021642	43.0	150.0	0.0	54302922.0
CH_18_R_18CH024_BL_ADL_M__SRR21484714.pair2.truncated	10.68745992524876	43.0	149.99999885825665	8.333333333333332	54302922.0
CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair1.truncated	9.143600230918082	43.0	149.9998216134681	0.0	5645045.0
CH_18_R_18CH024_BL_ADL_M__SRR21484715.pair2.truncated	9.824549125415487	43.0	149.9997769725485	8.333333333333332	5645045.0
CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair1.truncated	11.72889088025019	42.0	150.0	0.0	49434531.0
CH_18_R_18CH081_BL_ADL_M__SRR21484692.pair2.truncated	11.43398583534318	42.0	149.99999866490086	0.0	49434531.0
CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair1.truncated	16.060622623177423	43.0	150.0	0.0	20969997.0
CH_18_R_18CH081_BL_ADL_M__SRR21484703.pair2.truncated	15.238038077561953	43.0	149.999990939436	0.0	20969997.0
CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair1.truncated	13.159206792117402	44.0	150.0	0.0	52112813.0
CH_19_R_19CH005_BL_ADL_M__SRR21484678.pair2.truncated	11.917515117236093	44.0	149.99999869513857	0.0	52112813.0
CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair1.truncated	10.390402381492407	43.0	149.99982554048316	8.333333333333332	4614251.0
CH_19_R_19CH005_BL_ADL_M__SRR21484679.pair2.truncated	10.745975511460443	44.0	149.99978739778135	8.333333333333332	4614251.0
CH_19_R_19CH008_BL_ADL_F__SRR21484677.pair1.truncated	15.73996678686072	44.0	150.0	8.333333333333332	26966022.0
