Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	0.18432374468722457	0.0
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed_val_2	0.2619418595451057	0.10958568834008131
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	0.0	0.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0_val_2	0.0	0.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	0.20857822686092467	0.10162568006163228
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74_val_2	0.30060676995477026	0.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	0.10377861844217456	0.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e_val_2	0.0	0.0
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	0.0	0.0
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R2__0017c092e9c21fddc0ec98b846fb39dc_val_2	0.10268786979812387	0.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	0.10927967423005668	0.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R2__038856189b583c2ce73c7a6a4566bd71_val_2	0.13657758130491407	0.0
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	0.11857817871954181	0.10350937634068023
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R2__4060bdb9a6ce08079a77a8d7ea038215_val_2	0.12198712592436763	0.10875760383586706
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	0.13424874875191384	0.11390696461934863
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67_val_2	0.0	0.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	0.0	0.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504_val_2	0.10932078834557317	0.0
CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920_val_1	0.12113135608260477	0.11731230368385794
CN_14_G_1089_BL_ADL_M__SRR17643192__R2__5f486f14c262d296e8d87c43a27f0a37_val_2	0.14642696197077482	0.2231225201432549
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	0.13212118528136294	0.11645692578048769
CN_14_G_1089_BL_ADL_M__SRR17643274__R2__b31e4f8af3774cfad4158e0172990015_val_2	0.14872225874850414	0.12069692145897704
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	0.13167342095139278	0.0
CN_14_G_1093_BL_ADL_M__SRR17643022__R2__c1e67404b4de4037c05ee2c9bb70933f_val_2	0.16327993555035228	0.0
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	0.1414622313560781	0.0
CN_14_G_1094_BL_ADL_F__SRR17643069__R2__afcbf4ada79a47ce4c2c9123c7607f83_val_2	0.18725979522594213	0.11403094237204023
CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42_val_1	0.11477760922349427	0.0
CN_14_G_1097_BL_ADL_F__SRR17643047__R2__9dbc08626ebd460fbdd16d1430aa512f_val_2	0.12713778473798656	0.10394652758708348
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	0.11388419418122432	0.0
CN_14_G_1097_BL_ADL_F__SRR17643058__R2__ab6ddc058da97fc996731d8318539913_val_2	0.12644669628106114	0.10158188925424022
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	0.11838662234388334	0.11088747881371172
CN_14_G_1098_BL_ADL_F__SRR17643121__R2__1993133c7cd106a6db91febb4cfe2c45_val_2	0.12750691214900975	0.33698907186369653
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	0.110337875270964	0.10646452319601551
CN_14_G_1099_BL_ADL_M__SRR17643110__R2__59a8011fd0577f988a5f8823b0fca85f_val_2	0.12823408808049425	0.10388618913605485
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	0.10166759508157101	0.0
CN_14_G_1100_BL_ADL_F__SRR17643099__R2__0519bdfe87c650333de56e802a6506b8_val_2	0.1420333281624534	0.0
CN_14_G_1102_BL_ADL_M__SRR17643262__R1__eb961bbe3d232e5a38e72af2cd42e6e4_val_1	0.13687464867903318	0.0
CN_14_G_1102_BL_ADL_M__SRR17643262__R2__7f4071e5099bf10d098ac1c3891111a9_val_2	0.18221847479857597	0.0
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1	0.1427330637792203	0.0
CN_14_G_1102_BL_ADL_M__SRR17643273__R2__4ebccd00a4092d700de1b00a9fcef1c6_val_2	0.17387998584191103	0.0
CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3_val_1	0.1179516951331738	0.3183968313207206
CN_14_G_1103_BL_ADL_M__SRR17643251__R2__0de2f3a79d7e3392c28e9131b950d5f7_val_2	0.1426893352296502	0.22568991661199664
CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd_val_1	0.10745672899078004	0.0
CN_14_G_1104_BL_ADL_M__SRR17643147__R2__44898b3089d4481ceffaa81db81dd2e4_val_2	0.13524602279212664	0.0
CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674_val_1	0.0	0.0
CN_14_G_1105_BL_ADL_F__SRR17643136__R2__793690e8c71c625db6755dab7925bb52_val_2	0.0	0.0
CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311_val_1	0.2476002256495854	0.24983649395083807
CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9_val_2	0.3334886609585013	0.11346533184798169
CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7_val_1	0.13896203943673457	0.10742410775613709
CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf_val_2	0.17035919845014147	0.0
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1	0.13741886439389508	0.10665799270997797
CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66_val_2	0.17704252187981212	0.10090175038496774
