Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
DE_06_R_U085067_BL_ADL_F__SRR17643235__R1__05710342cf7e8b7d57e35046a899c7c4_val_1	18347231.0	3146583.0	456.0	2528403.0	3570226.0	87773974.0	5763467.0	67.31130298726421	0.7	0.5	36.1	0.0	0.0	directional	9177728.0	9169047.0	1291714010.0	27257281.0	360984747.0	681694562.0	155162098.0
DE_06_R_U149791_BL_ADL_M__SRR17643234__R1__44c08baad7f4ad8d3cb6b7e6a01c8e05_val_1	18094863.0	3058568.0	476.0	2402497.0	3290864.0	84779093.0	5420231.0	68.09322328251184	0.7	0.5	34.4	0.0	0.0	directional	9055238.0	9039149.0	1258464302.0	26573662.0	353050567.0	653285103.0	161656178.0
DE_06_R_U168348_BL_CHK_U__SRR17643231__R1__2f999eab6cd68b59d28d513c5aead658_val_1	18176555.0	2869167.0	349.0	2278193.0	3238782.0	86828070.0	4474392.0	71.22442713226124	0.6	0.5	36.3	0.0	0.0	directional	9100986.0	9075220.0	1293519897.0	25520114.0	361489161.0	687398552.0	152287139.0
DE_07_R_U149791_BL_ADL_M__SRR17643233__R1__940be4085e6b0d9c7f984db0a5dd2bb8_val_1	15624963.0	2460335.0	369.0	1760699.0	2732175.0	65201409.0	4867786.0	68.07347979905445	0.6	0.5	34.7	0.0	0.0	directional	7822531.0	7802063.0	1038742643.0	22953084.0	285005586.0	561193406.0	122849368.0
DE_07_R_U150702_BL_ADL_M__SRR17643232__R1__6dd25ba4ebba2668ad4f279698d46c9d_val_1	18544962.0	3101850.0	526.0	2532114.0	3583048.0	86691837.0	6050336.0	66.95621513088639	0.7	0.5	35.2	0.0	0.0	directional	9262631.0	9281805.0	1300762073.0	27697148.0	362082101.0	686535171.0	159337802.0
DE_07_R_U170608_BL_YRL_M__SRR17643230__R1__0c0141d8d5e918972aa448cee61b4ef9_val_1	15686562.0	2791666.0	303.0	1836915.0	2598963.0	70498378.0	4888889.0	67.13092590754778	0.6	0.5	34.7	0.0	0.0	directional	7875922.0	7810337.0	1019681060.0	23367117.0	284291411.0	527926318.0	132529075.0
DE_07_R_ZD007779_BL_CHK_F__SRR17643027__R1__f11b8c27f0d28aa161cc9c80d764b434_val_1	17141435.0	3136158.0	412.0	2157817.0	3112118.0	81769175.0	6632079.0	63.69990314263214	0.6	0.5	36.8	0.0	0.0	directional	8581551.0	8559472.0	1199814354.0	26909672.0	334690072.0	637531197.0	140553975.0
DE_08_R_90037526_BL_CHK_U__SRR17643132__R1__55975549d33d42d135a1a18acee3dfcc_val_1	17264103.0	2880096.0	436.0	2175706.0	3234411.0	83281315.0	4774943.0	69.28048726557279	0.6	0.5	37.5	0.0	0.0	directional	8653975.0	8609692.0	1224021896.0	24919142.0	338734172.0	657602823.0	138993469.0
DE_08_R_90039469_BL_CHK_U__SRR17643131__R1__37c1019ab29bc6cad3d8f25bb8dbbefe_val_1	16307112.0	2752918.0	331.0	2115040.0	3093976.0	79239876.0	4580057.0	68.98076136521833	0.7	0.5	38.0	0.0	0.0	directional	8168104.0	8138677.0	1149358659.0	23640087.0	318043370.0	617358259.0	129508138.0
DE_08_R_U170608_BL_ADL_M__SRR17643229__R1__6bf267b2c367aeafeec6ce33515606cf_val_1	18125639.0	3063424.0	382.0	2515777.0	3508312.0	90872703.0	5774115.0	67.2236744496513	0.7	0.5	36.7	0.0	0.0	directional	9091012.0	9034245.0	1279102628.0	26963178.0	358883641.0	666439754.0	156882441.0
DE_08_R_U184095_BL_ADL_F__SRR17643228__R1__936930d54f4e0563f5763e60bf2d15fb_val_1	17029272.0	3391942.0	539.0	2267524.0	3278856.0	86703655.0	4529469.0	68.25172681645628	0.7	0.5	37.7	0.0	0.0	directional	8576142.0	8452591.0	1188244310.0	24950683.0	331069483.0	621777359.0	143147433.0
DE_08_R_U240585_BL_YRL_F__SRR17643226__R1__d6a707af3ffcb31969287144922d8ca4_val_1	12396630.0	2194789.0	244.0	1632865.0	2387491.0	59344780.0	3931221.0	66.92690674763425	0.7	0.5	36.2	0.0	0.0	directional	6216325.0	6180061.0	877031704.0	18522640.0	243784388.0	465334476.0	104547704.0
DE_08_R_U240585_BL_YRL_F__SRR17643227__R1__439b8a36e4067f0457eb4f5814facd68_val_1	2850691.0	512161.0	65.0	375390.0	548751.0	13862366.0	702536.0	70.12100690020239	0.7	0.5	36.6	0.0	0.0	directional	1432522.0	1418104.0	201478795.0	4065388.0	55844595.0	106808879.0	24038814.0
DE_08_R_ZD007739_BL_YRL_M__SRR17643029__R1__87b4f5db97265fddc209f33b5597b539_val_1	17017308.0	3222473.0	509.0	2365220.0	3515707.0	87273935.0	469583771.0	3.4741710419020437	0.7	0.6	37.3	0.0	0.0	directional	8573657.0	8443142.0	1162912306.0	489823552.0	322395670.0	600728959.0	146632815.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777314__R1__ec0829e7eb76f8e01109ee90df9933ce_val_1	11284830.0	2037535.0	347.0	1638312.0	2369764.0	53681659.0	8100406.0	52.676798907106836	0.8	0.6	35.8	0.0	0.0	directional	5628870.0	5655613.0	761469417.0	21422771.0	213083205.0	394396064.0	96300413.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777315__R1__4aeb8415b8ed765e1def6b9960b4e31d_val_1	2227884.0	419727.0	63.0	312249.0	454863.0	11273584.0	898632.0	62.823782803378116	0.7	0.6	37.3	0.0	0.0	directional	1121042.0	1106779.0	152269925.0	3546243.0	42247134.0	79037371.0	18944724.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777316__R1__d8e26079d2384d1f0432756348475162_val_1	2047625.0	384570.0	59.0	284081.0	411923.0	10371835.0	791954.0	63.509006562661966	0.7	0.6	37.2	0.0	0.0	directional	1030500.0	1017066.0	139643740.0	3224149.0	38744707.0	72284325.0	17546869.0
