Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
DE_06_R_U085067_BL_ADL_F__SRR17643235__R1__05710342cf7e8b7d57e35046a899c7c4_val_1	1460801.0	1978575.0	48292848.0	0.7	0.5	36.4	705727378.0	197850957.0	371873574.0	84270623.0
DE_06_R_U149791_BL_ADL_M__SRR17643234__R1__44c08baad7f4ad8d3cb6b7e6a01c8e05_val_1	1353622.0	1778452.0	45845087.0	0.7	0.5	34.7	675590372.0	190128929.0	350067276.0	86417006.0
DE_06_R_U168348_BL_CHK_U__SRR17643231__R1__2f999eab6cd68b59d28d513c5aead658_val_1	1357213.0	1831372.0	49321105.0	0.7	0.5	37.0	727027791.0	203853109.0	386594112.0	84070880.0
DE_07_R_U149791_BL_ADL_M__SRR17643233__R1__940be4085e6b0d9c7f984db0a5dd2bb8_val_1	1013445.0	1526517.0	35859807.0	0.6	0.5	35.1	572222766.0	157199996.0	310192047.0	66430954.0
DE_07_R_U150702_BL_ADL_M__SRR17643232__R1__6dd25ba4ebba2668ad4f279698d46c9d_val_1	1442752.0	1954784.0	47277927.0	0.7	0.5	35.5	702848984.0	196159893.0	370071793.0	85941835.0
DE_07_R_U170608_BL_YRL_M__SRR17643230__R1__0c0141d8d5e918972aa448cee61b4ef9_val_1	1045484.0	1428304.0	38512013.0	0.7	0.5	35.2	554341737.0	154950337.0	287496927.0	70908672.0
DE_07_R_ZD007779_BL_CHK_F__SRR17643027__R1__f11b8c27f0d28aa161cc9c80d764b434_val_1	1304738.0	1810987.0	46439762.0	0.7	0.5	37.3	676991193.0	189333909.0	360087319.0	78014478.0
DE_08_R_90037526_BL_CHK_U__SRR17643132__R1__55975549d33d42d135a1a18acee3dfcc_val_1	1300957.0	1847863.0	47419128.0	0.7	0.5	38.0	693176718.0	192391594.0	373001135.0	77216041.0
DE_08_R_90039469_BL_CHK_U__SRR17643131__R1__37c1019ab29bc6cad3d8f25bb8dbbefe_val_1	1247990.0	1738562.0	44781716.0	0.7	0.5	38.6	644580113.0	178997678.0	346463659.0	71350508.0
DE_08_R_U170608_BL_ADL_M__SRR17643229__R1__6bf267b2c367aeafeec6ce33515606cf_val_1	1447032.0	1933049.0	49942519.0	0.7	0.5	37.0	698950153.0	196861049.0	363732518.0	85033986.0
DE_08_R_U184095_BL_ADL_F__SRR17643228__R1__936930d54f4e0563f5763e60bf2d15fb_val_1	1241200.0	1705565.0	45980593.0	0.7	0.5	37.9	624965720.0	174469253.0	326169052.0	75400057.0
DE_08_R_U240585_BL_YRL_F	1155707.0	1610751.0	40052044.0	0.7	0.5	36.5	585586329.0	163173282.0	310009180.0	69585365.0
DE_08_R_U240585_BL_YRL_F__SRR17643226__R1__d6a707af3ffcb31969287144922d8ca4_val_1	941954.0	1313792.0	32442063.0	0.7	0.5	36.4	476260970.0	132775832.0	252184691.0	56602638.0
DE_08_R_U240585_BL_YRL_F__SRR17643227__R1__439b8a36e4067f0457eb4f5814facd68_val_1	213753.0	296959.0	7609981.0	0.7	0.5	37.0	109325359.0	30397450.0	57824489.0	12982727.0
DE_08_R_ZD007739_BL_YRL_M	2506546.0	3554828.0	85439821.0	0.8	0.6	36.8	1158638841.0	322715014.0	597835095.0	146587537.0
DE_08_R_ZD007739_BL_YRL_M__SRR17643029__R1__87b4f5db97265fddc209f33b5597b539_val_1	1271595.0	1826203.0	45825414.0	0.8	0.6	37.5	605962443.0	168208950.0	312323998.0	76506283.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777314__R1__ec0829e7eb76f8e01109ee90df9933ce_val_1	911862.0	1278098.0	28236577.0	0.8	0.6	35.7	400022143.0	112086314.0	206570947.0	50938345.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777315__R1__4aeb8415b8ed765e1def6b9960b4e31d_val_1	169215.0	236783.0	5928514.0	0.8	0.6	37.3	79674417.0	22137363.0	41255397.0	9947145.0
DE_08_R_ZD007739_BL_YRL_M__SRR17777316__R1__d8e26079d2384d1f0432756348475162_val_1	153874.0	213744.0	5449316.0	0.8	0.6	37.2	72979838.0	20282387.0	37684753.0	9195764.0
DE_08_R_ZD007779_BL_YRL_F__SRR17643026__R1__dd023d2c4bb33c293e2039b21aee8d36_val_1	1469397.0	2082215.0	51377699.0	0.7	0.5	36.4	784498096.0	218509765.0	421249070.0	89809950.0
DE_09_R_U240585_BL_ADL_F__SRR17643224__R1__56b3f7ff1354199502017413cf7ec4e6_val_1	1331303.0	1837405.0	46663381.0	0.7	0.5	37.7	678925586.0	189341980.0	362757270.0	76994247.0
DE_09_R_U241924_BL_ADL_F__SRR17643223__R1__34a7531b2ff36347512da4b5647f69db_val_1	1304538.0	1742386.0	45733879.0	0.7	0.5	36.2	649090475.0	182939100.0	336736701.0	80633871.0
