Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
DE_06_R_U085067_BL_ADL_F__SRR17643235__R1__05710342cf7e8b7d57e35046a899c7c4_val_1	36.4	0.7	0.5	705727378.0	18347231.0	67.31130298726421
DE_06_R_U149791_BL_ADL_M__SRR17643234__R1__44c08baad7f4ad8d3cb6b7e6a01c8e05_val_1	34.7	0.7	0.5	675590372.0	18094863.0	68.09322328251184
DE_06_R_U168348_BL_CHK_U__SRR17643231__R1__2f999eab6cd68b59d28d513c5aead658_val_1	37.0	0.7	0.5	727027791.0	18176555.0	71.22442713226124
DE_07_R_U149791_BL_ADL_M__SRR17643233__R1__940be4085e6b0d9c7f984db0a5dd2bb8_val_1	35.1	0.6	0.5	572222766.0	15624963.0	68.07347979905445
DE_07_R_U150702_BL_ADL_M__SRR17643232__R1__6dd25ba4ebba2668ad4f279698d46c9d_val_1	35.5	0.7	0.5	702848984.0	18544962.0	66.95621513088639
DE_07_R_U170608_BL_YRL_M__SRR17643230__R1__0c0141d8d5e918972aa448cee61b4ef9_val_1	35.2	0.7	0.5	554341737.0	15686562.0	67.13092590754778
DE_07_R_ZD007779_BL_CHK_F__SRR17643027__R1__f11b8c27f0d28aa161cc9c80d764b434_val_1	37.3	0.7	0.5	676991193.0	17141435.0	63.69990314263214
DE_08_R_90037526_BL_CHK_U__SRR17643132__R1__55975549d33d42d135a1a18acee3dfcc_val_1	38.0	0.7	0.5	693176718.0	17264103.0	69.28048726557279
DE_08_R_90039469_BL_CHK_U__SRR17643131__R1__37c1019ab29bc6cad3d8f25bb8dbbefe_val_1	38.6	0.7	0.5	644580113.0	16307112.0	68.98076136521833
DE_08_R_U170608_BL_ADL_M__SRR17643229__R1__6bf267b2c367aeafeec6ce33515606cf_val_1	37.0	0.7	0.5	698950153.0	18125639.0	67.2236744496513
DE_08_R_U184095_BL_ADL_F__SRR17643228__R1__936930d54f4e0563f5763e60bf2d15fb_val_1	37.9	0.7	0.5	624965720.0	17029272.0	68.25172681645628	
DE_08_R_U240585_BL_YRL_F__SRR17643226__R1__d6a707af3ffcb31969287144922d8ca4_val_1	36.4	0.7	0.5	476260970.0	12396630.0	66.92690674763425
DE_08_R_U240585_BL_YRL_F__SRR17643227__R1__439b8a36e4067f0457eb4f5814facd68_val_1	37.0	0.7	0.5	109325359.0	2850691.0	70.12100690020239		
DE_08_R_ZD007739_BL_YRL_M__SRR17643029__R1__87b4f5db97265fddc209f33b5597b539_val_1	37.5	0.8	0.6	605962443.0	17017308.0	3.4741710419020437
DE_08_R_ZD007739_BL_YRL_M__SRR17777314__R1__ec0829e7eb76f8e01109ee90df9933ce_val_1	35.7	0.8	0.6	400022143.0	11284830.0	52.676798907106836
