Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	18271283.0	3197256.0	477.0	2351163.0	3264316.0	90198288.0	6412839.0	65.53220934775892	0.7	0.5	36.8	0.0	0.0	directional	9145907.0	9124899.0	1279952049.0	27881378.0	359248267.0	669822553.0	155067462.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	16907191.0	2854203.0	512.0	2057265.0	2982161.0	77380876.0	4562147.0	69.5095792179272	0.6	0.5	34.8	0.0	0.0	directional	8464099.0	8442580.0	1190437901.0	24323541.0	330699980.0	632249293.0	145068326.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	19242355.0	3244480.0	524.0	2407639.0	3440172.0	91666429.0	7136583.0	64.95656578184193	0.6	0.5	36.2	0.0	0.0	directional	9612051.0	9629780.0	1367326356.0	29623418.0	381340505.0	726631359.0	161840252.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	15810863.0	2792326.0	429.0	2238117.0	3284211.0	80343383.0	5302506.0	66.13847871814646	0.7	0.5	39.4	0.0	0.0	directional	7922060.0	7888374.0	1130070858.0	23905695.0	312009814.0	608364951.0	123830382.0
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	18162968.0	2941159.0	412.0	2283260.0	3353876.0	85339511.0	5067416.0	69.39968346535778	0.6	0.5	36.0	0.0	0.0	directional	9107195.0	9055361.0	1288474489.0	26171543.0	356749472.0	688764908.0	151983462.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	19339744.0	3032762.0	447.0	2433987.0	3614607.0	90035984.0	4885994.0	70.94940660711337	0.6	0.5	35.9	0.0	0.0	directional	9689208.0	9650089.0	1373731690.0	27258500.0	380584105.0	736424383.0	160638624.0
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	18533055.0	3125799.0	334.0	2486965.0	3501117.0	91209798.0	5416954.0	68.44876060577766	0.7	0.5	36.9	0.0	0.0	directional	9289928.0	9242793.0	1319285337.0	27075808.0	367599370.0	698298026.0	156190061.0
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	19507241.0	3343886.0	592.0	2570952.0	3792473.0	100269149.0	5612453.0	68.53403893677465	0.7	0.5	39.7	0.0	0.0	directional	9758254.0	9748395.0	1391773539.0	28463580.0	383324067.0	749749545.0	152067353.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	17301254.0	2920384.0	424.0	2411562.0	3387753.0	87000939.0	4019863.0	71.37039080212071	0.7	0.5	35.4	0.0	0.0	directional	8695216.0	8605614.0	1204728057.0	24241501.0	336970760.0	616034307.0	158922736.0
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	11381800.0	2028299.0	284.0	1489485.0	2144483.0	58381225.0	3028597.0	69.23785195614056	0.7	0.5	38.2	0.0	0.0	directional	5731332.0	5650184.0	801744593.0	16438696.0	220800167.0	424473718.0	94455515.0
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	21378243.0	3657757.0	552.0	2857976.0	4005372.0	108981641.0	5207765.0	70.6864472726858	0.7	0.5	36.9	0.0	0.0	directional	10715069.0	10662622.0	1479893924.0	30243765.0	412980293.0	764348484.0	186720158.0
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	18243765.0	3422699.0	565.0	2357164.0	3399232.0	93240385.0	4577290.0	69.51659812083287	0.7	0.5	37.1	0.0	0.0	directional	9171250.0	9071950.0	1287327731.0	26243754.0	356075342.0	674241797.0	158013811.0
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	15030974.0	2644333.0	426.0	1969136.0	2879165.0	77310558.0	4231157.0	68.61433228110205	0.7	0.5	38.0	0.0	0.0	directional	7552077.0	7478471.0	1056775038.0	21906464.0	290434272.0	558265667.0	125916240.0
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	11926656.0	2222989.0	352.0	1684687.0	2374968.0	61042262.0	4479149.0	64.02269518896392	0.7	0.5	37.8	0.0	0.0	directional	5991507.0	5934797.0	832652296.0	18628794.0	230637728.0	436559025.0	100353626.0
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	17865633.0	3269948.0	475.0	2466184.0	3472564.0	91705312.0	4501128.0	69.68770055470068	0.7	0.5	37.3	0.0	0.0	directional	8987746.0	8877412.0	1245861887.0	25636709.0	344880536.0	649262691.0	154074600.0
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	15627280.0	2807233.0	495.0	2070841.0	2939662.0	77588956.0	3470205.0	71.34207342911239	0.7	0.5	35.7	0.0	0.0	directional	7843575.0	7783210.0	1095850403.0	21904718.0	305418538.0	567833663.0	139998743.0
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1	12817787.0	2207244.0	423.0	1610018.0	2334804.0	62851745.0	3288175.0	69.99204290062592	0.6	0.5	36.1	0.0	0.0	directional	6427103.0	6390261.0	902364339.0	18313206.0	249356865.0	475135644.0	111075263.0
CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3_val_1	17130527.0	2844866.0	629.0	2348087.0	3248087.0	88045262.0	4081065.0	71.20968099293754	0.7	0.5	36.6	0.0	0.0	directional	8616897.0	8513001.0	1190564253.0	24056458.0	330306661.0	614165300.0	152450856.0
CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd_val_1	16675736.0	2826986.0	436.0	2309735.0	3295348.0	86129317.0	4143075.0	70.52304475082823	0.7	0.5	38.1	0.0	0.0	directional	8368863.0	8306437.0	1183258138.0	23645797.0	327729957.0	623666260.0	140127521.0
CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674_val_1	15603255.0	2633738.0	441.0	2133443.0	3156699.0	77777757.0	5159565.0	66.69038667995522	0.7	0.5	37.7	0.0	0.0	directional	7806408.0	7796406.0	1111661895.0	23396558.0	307869768.0	591967628.0	128756600.0
CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311_val_1	18557192.0	3374306.0	564.0	2449716.0	3589070.0	94124874.0	4764762.0	69.51232869323269	0.7	0.5	37.0	0.0	0.0	directional	9330850.0	9225778.0	1301904487.0	26696260.0	362246672.0	679018150.0	160476005.0
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1	2247859.0	439874.0	68.0	310018.0	445543.0	11831612.0	595659.0	68.46148738865173	0.7	0.5	39.1	0.0	0.0	directional	1128238.0	1119553.0	158114725.0	3283392.0	43715165.0	83416963.0	18395424.0
CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9_val_1	20326139.0	3713787.0	558.0	2782765.0	3913269.0	109136288.0	4806261.0	70.46386754686156	0.7	0.5	39.2	0.0	0.0	directional	10206119.0	10119462.0	1432382569.0	28846187.0	398565870.0	749045431.0	168938946.0
CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4_val_1	13790849.0	2514669.0	303.0	1725181.0	2544715.0	69251164.0	3528052.0	69.53286271710036	0.6	0.5	37.4	0.0	0.0	directional	6938413.0	6852133.0	979592295.0	19833570.0	269714949.0	520684160.0	115672126.0
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1	12757317.0	2283106.0	358.0	1541499.0	2181119.0	62992830.0	3248276.0	69.75519144363412	0.6	0.5	36.4	0.0	0.0	directional	6394219.0	6362740.0	891835934.0	18288699.0	247719996.0	467306354.0	110094136.0
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1	2540198.0	473781.0	64.0	361806.0	502507.0	13161617.0	702136.0	68.3562806856085	0.7	0.5	39.0	0.0	0.0	directional	1275069.0	1265065.0	178665361.0	3716115.0	49504440.0	94514992.0	20619999.0
CN_16_RG_2023_BL_ADL_M__SRR17643045__R1__f01d3e3480bc91c04c7318057be4b926_val_1	2537996.0	470288.0	45.0	350365.0	486452.0	13164272.0	680164.0	68.80932034286508	0.7	0.5	38.7	0.0	0.0	directional	1275902.0	1262049.0	176908962.0	3688448.0	49189238.0	92843960.0	20874675.0
CN_16_RG_2027_BL_ADL_M__SRR17643043__R1__c299cfe386524cbcfa621402e2dbd9a2_val_1	14293358.0	2490766.0	393.0	1888250.0	2710243.0	72289294.0	3924890.0	69.01998327877898	0.7	0.5	37.0	0.0	0.0	directional	7180916.0	7112049.0	999346025.0	20709014.0	276621588.0	522897745.0	122938905.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R1__3373616e7cdb5c0fc20acb0f6cdc2648_val_1	1979301.0	363705.0	78.0	256084.0	374221.0	9932765.0	620777.0	66.78292574051474	0.7	0.5	38.1	0.0	0.0	directional	991576.0	987647.0	138528973.0	2963783.0	38115547.0	73695832.0	16154524.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R1__8588b733582e46a2271e463250c015ce_val_1	13335197.0	2259866.0	393.0	1700449.0	2499217.0	67066460.0	3543259.0	69.67798430813318	0.6	0.5	37.5	0.0	0.0	directional	6696393.0	6638411.0	947690557.0	19138322.0	260690657.0	504096467.0	111637307.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R1__dbf00865c5ad84939425de73519ba521_val_1	13670701.0	2526461.0	361.0	1859226.0	2659772.0	71039130.0	3375035.0	69.84755467155782	0.7	0.5	38.4	0.0	0.0	directional	6872842.0	6797498.0	963272872.0	19572197.0	267089012.0	506865402.0	113760330.0
