Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	1344289.0	1788069.0	48686467.0	0.7	0.5	36.9	687387707.0	193520897.0	358720293.0	83327692.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	1218702.0	1681550.0	43741957.0	0.7	0.5	35.4	666393960.0	185661208.0	354155674.0	79934869.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	1410673.0	1911557.0	50633605.0	0.7	0.5	36.4	750095953.0	209927073.0	397751285.0	88461760.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	1335446.0	1875294.0	46070072.0	0.7	0.5	39.9	644565201.0	178532786.0	347336801.0	69414802.0
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	1354727.0	1902599.0	48283158.0	0.7	0.5	36.5	723354648.0	200914418.0	386854936.0	84044810.0
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	1473763.0	2089260.0	51997824.0	0.7	0.5	36.6	787918886.0	218938961.0	423504849.0	89914229.0
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	1437718.0	1916429.0	49894109.0	0.7	0.5	37.1	716864053.0	200370039.0	378672994.0	84572764.0
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	1557280.0	2192751.0	58020722.0	0.7	0.5	40.4	800028139.0	220959719.0	431850689.0	85446978.0
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	1291395.0	1746437.0	45597281.0	0.7	0.5	35.5	627352533.0	175836140.0	319929425.0	82951855.0
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	822070.0	1120555.0	31210251.0	0.7	0.5	38.3	425326632.0	117488441.0	224458347.0	50226968.0
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	1572708.0	2098906.0	58258381.0	0.7	0.5	37.2	783180420.0	219043437.0	403652680.0	98554308.0
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	1311067.0	1800817.0	50376542.0	0.7	0.5	37.4	687266937.0	190526447.0	359010207.0	84241857.0
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	1078846.0	1495654.0	41157155.0	0.7	0.5	38.2	557482520.0	153574968.0	293551313.0	66624584.0
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	932021.0	1264558.0	32453248.0	0.8	0.5	37.9	440882856.0	122426551.0	230522100.0	53284378.0
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	1340749.0	1801825.0	48538627.0	0.7	0.5	37.5	653658490.0	181294939.0	339690347.0	80992003.0
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	1133626.0	1541800.0	41312728.0	0.7	0.5	35.9	578462662.0	161574761.0	299011577.0	73888170.0
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1	878909.0	1207747.0	33217428.0	0.7	0.5	36.2	472657570.0	130889675.0	247977908.0	58485903.0
CN_14_G_1103_BL_ADL_M__SRR17643251__R1__b2ecf7e767354713a32a717416f20af3_val_1	1267688.0	1684507.0	46281621.0	0.7	0.5	36.7	621499324.0	172766307.0	319761947.0	79737254.0
CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd_val_1	1288440.0	1740554.0	46458441.0	0.7	0.5	38.4	631331205.0	175298650.0	331882696.0	74662424.0
CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674_val_1	1239243.0	1741586.0	43324188.0	0.7	0.5	38.1	614072548.0	170588940.0	326742302.0	70436289.0
CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311_val_1	1332565.0	1870845.0	49941799.0	0.7	0.5	37.2	684736875.0	190895006.0	356236469.0	84460191.0
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1	172931.0	235493.0	6391888.0	0.7	0.5	39.4	84485547.0	23433095.0	44429614.0	9822526.0
CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9_val_1	1537282.0	2062500.0	58523446.0	0.7	0.5	39.5	761762548.0	212516896.0	397489386.0	89633038.0
CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4_val_1	976767.0	1360947.0	37937481.0	0.7	0.5	37.8	531736543.0	146819271.0	282172854.0	62469223.0
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1	840608.0	1128061.0	33357449.0	0.6	0.5	36.5	468628371.0	130475757.0	244888230.0	57938266.0
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1	201898.0	267315.0	7106162.0	0.8	0.5	39.2	95491147.0	26543086.0	50351866.0	11020820.0
CN_16_RG_2023_BL_ADL_M__SRR17643045__R1__f01d3e3480bc91c04c7318057be4b926_val_1	194782.0	258378.0	7055047.0	0.7	0.5	38.8	93995783.0	26210946.0	49165739.0	11110891.0
CN_16_RG_2027_BL_ADL_M__SRR17643043__R1__c299cfe386524cbcfa621402e2dbd9a2_val_1	1021718.0	1392120.0	38191491.0	0.7	0.5	37.1	524025765.0	145408458.0	273338951.0	64673027.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R1__3373616e7cdb5c0fc20acb0f6cdc2648_val_1	145402.0	199931.0	5429333.0	0.7	0.5	38.3	75066496.0	20720313.0	39833733.0	8737784.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R1__8588b733582e46a2271e463250c015ce_val_1	961485.0	1329735.0	36637094.0	0.7	0.5	37.9	511315559.0	141041842.0	271295974.0	60049429.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R1__dbf00865c5ad84939425de73519ba521_val_1	1029402.0	1399845.0	38116726.0	0.7	0.5	38.7	512504793.0	142462127.0	269032859.0	60463834.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R1__f5908ae7ad441619d5818b8704570971_val_1	828639.0	1139813.0	31928202.0	0.7	0.5	38.2	444181683.0	122466415.0	236080631.0	51737983.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R1__9d60dd8a723ce0fc501c7ccfed55bb99_val_1	201092.0	276867.0	6409226.0	0.8	0.6	37.5	88245778.0	24552421.0	46114991.0	10691181.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R1__e468dd52640a659d9f4c1ce39666c7cc_val_1	84207.0	115111.0	3084534.0	0.7	0.5	39.0	41165255.0	11414169.0	21634186.0	4833048.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b_val_1	184449.0	250359.0	6997961.0	0.7	0.5	40.3	90108147.0	25135667.0	47158079.0	10381632.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f_val_1	187185.0	258814.0	6885012.0	0.7	0.5	38.0	93985753.0	26277473.0	49122933.0	11254336.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39_val_1	187025.0	255675.0	6944221.0	0.7	0.5	37.5	95707980.0	26658788.0	50068598.0	11593673.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff_val_1	154881.0	212892.0	5753892.0	0.7	0.5	38.7	77882267.0	21669005.0	40982769.0	9108828.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413_val_1	1369699.0	1896473.0	50850491.0	0.7	0.5	39.0	694019466.0	193095968.0	367175834.0	79631001.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc_val_1	198193.0	275495.0	6838652.0	0.7	0.5	37.5	95803671.0	26572371.0	50520394.0	11398566.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310_val_1	1065948.0	1438148.0	37707875.0	0.7	0.5	37.5	519769611.0	144988881.0	271655146.0	62913613.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f_val_1	191437.0	259279.0	6976764.0	0.7	0.5	38.9	93171783.0	25913521.0	48893253.0	10937529.0
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e_val_1	193106.0	264004.0	6891333.0	0.7	0.5	36.8	95954525.0	26817601.0	49947291.0	11841190.0
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d_val_1	1209750.0	1639404.0	44249550.0	0.7	0.5	37.6	616440217.0	171736808.0	324034461.0	73570244.0
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e_val_1	142034.0	192294.0	5224198.0	0.7	0.5	37.0	72644344.0	20253473.0	37954795.0	8877550.0
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34_val_1	196618.0	266001.0	7126767.0	0.7	0.5	38.0	95684321.0	26688216.0	49768099.0	11638620.0
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9_val_1	1043575.0	1359503.0	41040285.0	0.7	0.5	38.1	547991351.0	152935069.0	284962601.0	66650318.0
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0_val_1	1037805.0	1451494.0	39654360.0	0.7	0.5	38.7	552424406.0	152324788.0	295080339.0	62875620.0
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9_val_1	1287715.0	1773263.0	50629831.0	0.7	0.5	39.3	654818022.0	182491355.0	340448993.0	78186865.0
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a_val_1	150443.0	200267.0	5760248.0	0.7	0.5	39.6	74898838.0	20866808.0	39148682.0	8772390.0
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a_val_1	1360413.0	1830120.0	51317342.0	0.7	0.5	37.0	696552190.0	193543978.0	361022010.0	87478327.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4_val_1	179304.0	240909.0	6614396.0	0.7	0.5	38.8	88290176.0	24581157.0	46226887.0	10447523.0
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb_val_1	169412.0	229683.0	6066368.0	0.7	0.5	37.4	84603022.0	23531089.0	44462682.0	10143788.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e_val_1	174741.0	237312.0	6489726.0	0.7	0.5	39.3	85548393.0	23773452.0	44852866.0	10020296.0
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033_val_1	1127457.0	1528604.0	43082095.0	0.7	0.5	37.1	589878344.0	163796772.0	307171132.0	73172284.0
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4_val_1	1127930.0	1520685.0	44304849.0	0.7	0.5	37.5	594761304.0	166467756.0	307507771.0	73832313.0
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9_val_1	181551.0	251952.0	7044228.0	0.7	0.5	39.0	92941703.0	25879577.0	48576602.0	11007793.0
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665_val_1	179093.0	242887.0	6561793.0	0.7	0.5	38.1	88189940.0	24590500.0	45955724.0	10659943.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86_val_1	1300190.0	1796226.0	48939403.0	0.7	0.5	38.7	657852671.0	183082347.0	345162035.0	77572470.0
