Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	36.9	0.7	0.5	687387707.0	18271283.0	65.53220934775892
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	35.4	0.7	0.5	666393960.0	16907191.0	69.5095792179272
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	36.4	0.7	0.5	750095953.0	19242355.0	64.95656578184193
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	39.9	0.7	0.5	644565201.0	15810863.0	66.13847871814646
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	36.5	0.7	0.5	723354648.0	18162968.0	69.39968346535778
CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	36.6	0.7	0.5	787918886.0	19339744.0	70.94940660711337
CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	37.1	0.7	0.5	716864053.0	18533055.0	68.44876060577766
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	40.4	0.7	0.5	800028139.0	19507241.0	68.53403893677465
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	35.5	0.7	0.5	627352533.0	17301254.0	71.37039080212071
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	38.3	0.7	0.5	425326632.0	11381800.0	69.23785195614056
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18_val_1	37.2	0.7	0.5	783180420.0	21378243.0	70.6864472726858
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583_val_1	37.4	0.7	0.5	687266937.0	18243765.0	69.51659812083287
CN_14_G_1097_BL_ADL_F__SRR17643058__R1__ff85361ffa15b071c572410bf31f54af_val_1	38.2	0.7	0.5	557482520.0	15030974.0	68.61433228110205
CN_14_G_1098_BL_ADL_F__SRR17643121__R1__776922b8fc01c761304085379ed7ec90_val_1	37.9	0.8	0.5	440882856.0	11926656.0	64.02269518896392
CN_14_G_1099_BL_ADL_M__SRR17643110__R1__64d64834c6b1039749c9af3e019d0bcd_val_1	37.5	0.7	0.5	653658490.0	17865633.0	69.68770055470068
CN_14_G_1100_BL_ADL_F__SRR17643099__R1__38bf1e943751e7a4bbf0b2ef3b11e10d_val_1	35.9	0.7	0.5	578462662.0	15627280.0	71.34207342911239
CN_14_G_1102_BL_ADL_M__SRR17643273__R1__7b1291d46dde16d802063b4777723797_val_1	36.2	0.7	0.5	472657570.0	12817787.0	69.99204290062592
