Module	Section	Sample Name	Source
Bismark	alignment	CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_20_R_20CH003_BL_ADL_M__SRR17643263__R1__8263d5d14b3f18e5c67a31f86d888009_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_20_R_20CH005_BL_ADL_M__SRR17643261__R1__d2a2e1de2d795b161b9cc2903f906a6f_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CH_20_R_20CH006_BL_ADL_F__SRR17643260__R1__2f326fc8ddda2bf08fd65dd1c1c5f780_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1	/dss/dsslegfs01/pr53da/pr53da-dss-0034/projects/2021_SwallowGenomics/bismark.map.score.min/CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c_val_1_bismark_bt2_PE_report.txt
