Pop1.x Pop2.x avg_fst pop_key Pop1.y Pop2.y Annotation Mean
S T 0.026498 savignii_tytleri savignii tytleri avg_dxy 0.00513421
S T 0.026498 savignii_tytleri savignii tytleri island_exon NA
S T 0.026498 savignii_tytleri savignii tytleri island_Intergenic NA
S T 0.026498 savignii_tytleri savignii tytleri island_intron NA
S T 0.026498 savignii_tytleri savignii tytleri island_promoter-TSS NA
S T 0.026498 savignii_tytleri savignii tytleri island_TTS NA
S T 0.026498 savignii_tytleri savignii tytleri opensea_exon 0.0299395881946595
S T 0.026498 savignii_tytleri savignii tytleri opensea_Intergenic 0.030820341920498
S T 0.026498 savignii_tytleri savignii tytleri opensea_intron 0.0311812716118397
S T 0.026498 savignii_tytleri savignii tytleri opensea_promoter-TSS 0.0315936857207141
S T 0.026498 savignii_tytleri savignii tytleri opensea_TTS 0.0311509903909302
S T 0.026498 savignii_tytleri savignii tytleri shore_exon NA
S T 0.026498 savignii_tytleri savignii tytleri shore_Intergenic NA
S T 0.026498 savignii_tytleri savignii tytleri shore_intron NA
S T 0.026498 savignii_tytleri savignii tytleri shore_promoter-TSS NA
S T 0.026498 savignii_tytleri savignii tytleri shore_TTS NA
G S 0.046161 gutturalis_savignii gutturalis savignii avg_dxy 0.00522573
G S 0.046161 gutturalis_savignii gutturalis savignii island_exon NA
G S 0.046161 gutturalis_savignii gutturalis savignii island_Intergenic NA
G S 0.046161 gutturalis_savignii gutturalis savignii island_intron NA
G S 0.046161 gutturalis_savignii gutturalis savignii island_promoter-TSS NA
G S 0.046161 gutturalis_savignii gutturalis savignii island_TTS NA
G S 0.046161 gutturalis_savignii gutturalis savignii opensea_exon 0.0348094750215767
G S 0.046161 gutturalis_savignii gutturalis savignii opensea_Intergenic 0.0351443116402863
G S 0.046161 gutturalis_savignii gutturalis savignii opensea_intron 0.0353611279870899
G S 0.046161 gutturalis_savignii gutturalis savignii opensea_promoter-TSS 0.0346135129508463
G S 0.046161 gutturalis_savignii gutturalis savignii opensea_TTS 0.0362012232950258
G S 0.046161 gutturalis_savignii gutturalis savignii shore_exon NA
G S 0.046161 gutturalis_savignii gutturalis savignii shore_Intergenic NA
G S 0.046161 gutturalis_savignii gutturalis savignii shore_intron NA
G S 0.046161 gutturalis_savignii gutturalis savignii shore_promoter-TSS NA
G S 0.046161 gutturalis_savignii gutturalis savignii shore_TTS NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis avg_dxy 0.00519991
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis island_exon NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis island_Intergenic NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis island_intron NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis island_promoter-TSS NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis island_TTS NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis opensea_exon 0.0374607145923256
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis opensea_Intergenic 0.037616139837584
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis opensea_intron 0.0375130795750311
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis opensea_promoter-TSS 0.0384151203621765
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis opensea_TTS 0.0384547739559984
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis shore_exon NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis shore_Intergenic NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis shore_intron NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis shore_promoter-TSS NA
G E 0.0253559 erythrogaster_gutturalis erythrogaster gutturalis shore_TTS NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva avg_dxy 0.00489006
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva island_exon NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva island_Intergenic NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva island_intron NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva island_promoter-TSS NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva island_TTS NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva opensea_exon 0.0301709641419382
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva opensea_Intergenic 0.0307663447770744
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva opensea_intron 0.030550292043562
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva opensea_promoter-TSS 0.0294670295097424
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva opensea_TTS 0.029941098639122
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva shore_exon NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva shore_Intergenic NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva shore_intron NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva shore_promoter-TSS NA
TV R_r 0.0132691 rustica.r_transitiva rustica.r transitiva shore_TTS NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva avg_dxy 0.00485164
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva island_exon NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva island_Intergenic NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva island_intron NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva island_promoter-TSS NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva island_TTS NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva opensea_exon 0.0301104474559946
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva opensea_Intergenic 0.032507930129635
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva opensea_intron 0.0319900940965692
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva opensea_promoter-TSS 0.031985434213503
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva opensea_TTS 0.0315387461438537
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva shore_exon NA
E TV 0.0308254 erythrogaster_transitiva erythrogaster transitiva shore_Intergenic NA
