avg_fst pop_key Pop1.x Pop2.x Pop1.y Pop2.y Annotation Mean
0.0229083 savignii_tytleri savignii tytleri savignii tytleri island_exon 0.0296431669033137
0.0229083 savignii_tytleri savignii tytleri savignii tytleri island_Intergenic 0.0322873678973502
0.0229083 savignii_tytleri savignii tytleri savignii tytleri island_intron 0.0323460585680677
0.0229083 savignii_tytleri savignii tytleri savignii tytleri island_promoter-TSS 0.0373683247100584
0.0229083 savignii_tytleri savignii tytleri savignii tytleri island_TTS 0.0319740266646243
0.0405232 gutturalis_savignii gutturalis savignii gutturalis savignii island_exon 0.0388658521115667
0.0405232 gutturalis_savignii gutturalis savignii gutturalis savignii island_Intergenic 0.0384985305443942
0.0405232 gutturalis_savignii gutturalis savignii gutturalis savignii island_intron 0.0403072174196984
0.0405232 gutturalis_savignii gutturalis savignii gutturalis savignii island_promoter-TSS 0.0411627964563123
0.0405232 gutturalis_savignii gutturalis savignii gutturalis savignii island_TTS 0.042518290190328
0.023275 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis island_exon 0.0581291992189431
0.023275 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis island_Intergenic 0.0496246179571119
0.023275 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis island_intron 0.0547507564689209
0.023275 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis island_promoter-TSS 0.0524149241661047
0.023275 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis island_TTS 0.0641333160353464
0.013829 rustica.r_transitiva transitiva rustica.r rustica.r transitiva island_exon 0.0294386698804224
0.013829 rustica.r_transitiva transitiva rustica.r rustica.r transitiva island_Intergenic 0.0299739863100018
0.013829 rustica.r_transitiva transitiva rustica.r rustica.r transitiva island_intron 0.0294572766304372
0.013829 rustica.r_transitiva transitiva rustica.r rustica.r transitiva island_promoter-TSS 0.0270191411166059
0.013829 rustica.r_transitiva transitiva rustica.r rustica.r transitiva island_TTS 0.0264032452072266
0.0276256 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva island_exon 0.0358187101655997
