avg_dxy pop_key Pop1.x Pop2.x Pop1.y Pop2.y Annotation Mean
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis Mean 0.0387619999863631
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis exon 0.0387453619864707
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis Intergenic 0.0382577502253156
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis intron 0.038589085892091
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis promoter-TSS 0.0395645678304675
0.00519991 erythrogaster_gutturalis gutturalis erythrogaster erythrogaster gutturalis TTS 0.0422203878479168
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu Mean 0.0327210000654735
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu exon 0.0326608566674333
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu Intergenic 0.0326686327570066
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu intron 0.032561423469394
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu promoter-TSS 0.0337117330793813
0.00530675 erythrogaster_rustica.eu rustica.eu erythrogaster erythrogaster rustica.eu TTS 0.0330397227107465
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r Mean 0.0316538912734938
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r exon 0.031692987063011
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r Intergenic 0.0319425735872678
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r intron 0.031468846149062
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r promoter-TSS 0.0307091539352725
0.00527308 erythrogaster_rustica.r erythrogaster rustica.r erythrogaster rustica.r TTS 0.0324297130753661
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii Mean 0.0336229085309212
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii exon 0.0316162472477131
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii Intergenic 0.0340856364290188
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii intron 0.0337272789750624
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii promoter-TSS 0.0363941757590948
0.00513986 erythrogaster_savignii erythrogaster savignii erythrogaster savignii TTS 0.0347333214803283
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva Mean 0.032111745737075
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva exon 0.0307116474609299
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva Intergenic 0.0326415420436038
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva intron 0.0321796125697989
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva promoter-TSS 0.0328950445903837
0.00485164 erythrogaster_transitiva erythrogaster transitiva erythrogaster transitiva TTS 0.0333218137714402
0.00513541 erythrogaster_tytleri erythrogaster tytleri erythrogaster tytleri Mean 0.0322737989993107
0.00513541 erythrogaster_tytleri erythrogaster tytleri erythrogaster tytleri exon 0.0326087156734733
0.00513541 erythrogaster_tytleri erythrogaster tytleri erythrogaster tytleri Intergenic 0.0321635004667634
0.00513541 erythrogaster_tytleri erythrogaster tytleri erythrogaster tytleri intron 0.0319522513378428
