pop1	pop2	cpgi_fst	shore_fst	opensea_fst
savignii	tytleri	0.0229083	0.0242001	0.0268044
gutturalis	savignii	0.0405232	0.0426981	0.0466366
gutturalis	erythrogaster	0.023275	0.0240561	0.0255309
transitiva	rustica.r	0.013829	0.0137072	0.0132121
erythrogaster	transitiva	0.0276256	0.0284795	0.0311255
rustica.eu	tytleri	0.0122727	0.012688	0.0151828
rustica.eu	erythrogaster	0.0197253	0.0200318	0.0226632
savignii	transitiva	0.00987044	0.00968825	0.00799381
gutturalis	rustica.r	0.0246475	0.0260006	0.0284346
gutturalis	transitiva	0.0405301	0.0422064	0.0448715
rustica.eu	rustica.r	0.00307359	0.00295721	0.00314436
erythrogaster	rustica.r	0.0154188	0.0161062	0.0177743
rustica.eu	transitiva	0.0152038	0.0147053	0.0143941
rustica.r	tytleri	0.00845173	0.00898583	0.0154224
savignii	rustica.r	0.0141445	0.0147575	0.0103727
rustica.eu	savignii	0.0146367	0.0148321	0.0156839
erythrogaster	savignii	0.0294141	0.0307577	0.0343708
rustica.eu	gutturalis	0.0283451	0.0294008	0.0325949
erythrogaster	tytleri	0.00955652	0.00998828	0.0105191
transitiva	tytleri	0.0215143	0.0224256	0.0239727
gutturalis	tytleri	0.0179155	0.0188172	0.0206966
