100000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
2	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
3	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
4	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
5	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
6	NoName	0.00000	0.00000	0.00207	0.00002	0.99791	0.00000
7	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
8	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
9	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
10	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
11	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
13	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	NoName	0.00000	0.00000	0.99747	0.00252	0.00001	0.00000
16	NoName	0.00000	0.00000	0.03581	0.94101	0.02318	0.00000
17	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	NoName	0.00000	0.00000	0.00023	0.99977	0.00000	0.00000
19	NoName	0.00000	0.98258	0.00000	0.00000	0.00000	0.01742
20	NoName	0.00000	0.00000	0.00000	0.99948	0.00000	0.00052
21	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
22	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
23	NoName	0.00000	0.00000	0.99975	0.00010	0.00000	0.00014
24	NoName	0.00000	0.00000	0.00013	0.99987	0.00001	0.00000
25	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	0.00000	0.00024	0.11764	0.00000	0.88212
27	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
29	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
31	NoName	0.00000	0.00000	0.99740	0.00001	0.00000	0.00259
32	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
33	NoName	0.00000	0.00000	0.00000	0.00122	0.00000	0.99878
34	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
35	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
36	NoName	0.00000	0.00000	0.00231	0.00025	0.00000	0.99744
37	NoName	0.00000	0.00000	0.99989	0.00000	0.00000	0.00011
38	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
40	NoName	0.00000	0.00000	0.52760	0.00009	0.47232	0.00000
41	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
42	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
43	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
44	NoName	0.00000	0.00000	0.96136	0.03864	0.00000	0.00000
45	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
46	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
47	NoName	0.99996	0.00000	0.00000	0.00000	0.00004	0.00000
48	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
49	NoName	0.00000	0.00000	0.00000	0.01086	0.00000	0.98914
50	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
51	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
54	NoName	0.00000	0.00000	0.99998	0.00000	0.00000	0.00002
55	NoName	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
56	NoName	0.00000	0.99980	0.00000	0.00000	0.00000	0.00020
57	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
59	NoName	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000
60	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	NoName	0.00000	0.00000	0.00000	0.99905	0.00095	0.00000
65	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
66	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
67	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	NoName	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000
69	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
70	NoName	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
