99901_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
2	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
3	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
4	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
5	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	0.00000	0.00004	0.00000	0.99996	0.00000
7	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
8	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
9	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
10	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
11	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
12	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
13	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.00000	0.99672	0.00325	0.00004	0.00000
16	0.00000	0.00000	0.02156	0.92327	0.05517	0.00000
17	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	0.00000	0.00000	0.00012	0.99988	0.00001	0.00000
19	0.00000	0.94605	0.00000	0.00000	0.00000	0.05395
20	0.00000	0.00000	0.00000	0.99956	0.00000	0.00044
21	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
22	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
23	0.00000	0.00000	0.99968	0.00013	0.00000	0.00019
24	0.00000	0.00000	0.00007	0.99992	0.00002	0.00000
25	0.00000	0.00000	0.99999	0.00001	0.00000	0.00000
26	0.00000	0.00000	0.00013	0.10089	0.00000	0.89898
27	0.00000	0.99999	0.00000	0.00000	0.00000	0.00001
28	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
29	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
31	0.00000	0.00000	0.99649	0.00001	0.00000	0.00350
32	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
33	0.00000	0.00000	0.00000	0.00099	0.00000	0.99901
34	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
35	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
36	0.00000	0.00000	0.00128	0.00020	0.00000	0.99853
37	0.00000	0.00000	0.99985	0.00000	0.00000	0.00015
38	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
39	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
40	0.00000	0.00000	0.22352	0.00003	0.77645	0.00000
41	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
42	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
43	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
44	0.00000	0.00000	0.95515	0.04485	0.00000	0.00000
45	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
46	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
47	0.99948	0.00000	0.00000	0.00000	0.00052	0.00000
48	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
49	0.00000	0.00000	0.00000	0.00924	0.00000	0.99076
50	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
51	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
52	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
53	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
54	0.00000	0.00000	0.99998	0.00000	0.00000	0.00002
55	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
56	0.00000	0.99927	0.00000	0.00000	0.00000	0.00073
57	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
58	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
59	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000
60	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
61	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
62	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
63	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
64	0.00000	0.00000	0.00000	0.99683	0.00317	0.00000
65	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
66	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
67	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
68	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000
69	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
70	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
