199801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
2	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
3	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
4	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
5	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
6	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
7	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
8	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
9	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
10	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
11	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
12	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
13	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
14	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
15	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
16	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
17	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
18	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
19	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
20	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
21	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
22	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
23	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
24	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
25	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
26	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
27	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
28	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
29	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
30	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
31	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
32	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
33	0.00000	0.00000	0.00000	0.99997	0.00000	0.00003
34	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
35	0.00000	0.00000	0.00000	0.99935	0.00063	0.00002
36	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
37	0.00000	0.00000	0.00000	0.99432	0.00568	0.00000
38	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
39	0.00000	0.00000	0.00000	0.99992	0.00008	0.00000
40	0.00000	0.00000	0.00000	0.99772	0.00000	0.00228
41	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
42	0.00000	0.00000	0.00000	0.99647	0.00349	0.00004
43	0.00000	0.00000	0.00000	0.99551	0.00410	0.00039
44	0.00000	0.00000	0.00000	0.99960	0.00036	0.00004
45	0.00000	0.00000	0.00000	0.99984	0.00000	0.00016
46	0.00000	0.00000	0.00000	0.99995	0.00000	0.00005
47	0.00000	0.00000	0.00000	0.99996	0.00002	0.00002
48	0.00000	0.00000	0.00000	0.99999	0.00000	0.00001
49	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
50	0.00000	0.00000	0.00000	0.99863	0.00131	0.00005
51	0.00000	0.00000	0.00000	0.99931	0.00068	0.00000
52	0.00000	0.00000	0.00000	0.99901	0.00098	0.00001
53	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
54	0.00000	0.00000	0.00000	0.99976	0.00022	0.00002
55	0.00000	0.00000	0.00000	0.99992	0.00002	0.00007
56	0.00000	0.00000	0.00000	0.99903	0.00001	0.00095
57	0.00000	0.00000	0.00000	0.99995	0.00000	0.00005
58	0.00000	0.00000	0.00000	0.99996	0.00004	0.00000
59	0.00000	0.00000	0.00000	0.99987	0.00000	0.00013
60	0.00000	0.00000	0.00000	0.99997	0.00003	0.00000
61	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
62	0.00000	0.00000	0.00000	0.99999	0.00000	0.00001
