199801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
2	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
3	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
4	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
5	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
6	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
7	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
8	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
9	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
10	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
11	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
12	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
13	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
14	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
15	0.00000	0.00000	0.00379	0.54740	0.44881	0.00000
16	0.99914	0.00000	0.00000	0.00000	0.00086	0.00000
17	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
18	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
19	0.99997	0.00000	0.00000	0.00000	0.00003	0.00000
20	0.00000	0.89812	0.00000	0.00000	0.00000	0.10188
21	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
22	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
23	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
24	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
25	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
26	0.00000	0.00000	0.83120	0.07484	0.09396	0.00000
27	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
28	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
29	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
30	0.00000	0.87360	0.00000	0.00000	0.00000	0.12640
31	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
32	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
33	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
34	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
35	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
36	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
37	0.00000	0.00000	0.97511	0.00128	0.02361	0.00000
38	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
39	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
40	0.00000	0.13079	0.00000	0.00000	0.00000	0.86921
41	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
42	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
43	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
44	0.93834	0.00000	0.00000	0.00000	0.06166	0.00000
45	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
46	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
47	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
48	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
49	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
50	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
51	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
52	0.99998	0.00000	0.00000	0.00000	0.00002	0.00000
53	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
54	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
55	0.98718	0.00000	0.00000	0.00000	0.01282	0.00000
56	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
57	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000
58	0.00000	0.00000	0.00000	0.00001	0.99999	0.00000
59	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
60	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
