200000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
2	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
3	NoName	0.44096	0.00000	0.00000	0.55903	0.00001	0.00000
4	NoName	0.44096	0.00000	0.00000	0.55903	0.00001	0.00000
5	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
6	NoName	0.44096	0.00000	0.00000	0.55903	0.00001	0.00000
7	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
8	NoName	0.44096	0.00000	0.00000	0.55903	0.00001	0.00000
9	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
10	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
11	NoName	0.44096	0.00000	0.00000	0.55904	0.00000	0.00000
12	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
13	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
14	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
15	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
16	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
17	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
18	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
19	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
20	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
21	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
22	NoName	0.00000	0.44095	0.00000	0.55905	0.00000	0.00000
23	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
24	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
25	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
26	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
27	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
28	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
29	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
30	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
31	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
32	NoName	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
33	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
34	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
35	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
36	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
37	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
38	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
39	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
40	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
41	NoName	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
42	NoName	0.00000	0.00000	0.00000	0.99996	0.00000	0.00004
43	NoName	0.00000	0.00000	0.00000	0.55904	0.44096	0.00000
44	NoName	0.00000	0.00000	0.00000	0.55904	0.44096	0.00000
45	NoName	0.00000	0.00000	0.00000	0.55381	0.44619	0.00000
46	NoName	0.00000	0.00000	0.00000	0.55825	0.44175	0.00000
47	NoName	0.00000	0.00000	0.00000	0.55904	0.44096	0.00000
48	NoName	0.00000	0.00000	0.00000	0.55904	0.44096	0.00000
49	NoName	0.00000	0.00000	0.00000	0.55903	0.44097	0.00000
50	NoName	0.00000	0.00000	0.00000	0.55897	0.44102	0.00001
51	NoName	0.00000	0.00000	0.00000	0.55903	0.44097	0.00000
52	NoName	0.00000	0.00000	0.00000	0.55904	0.44096	0.00000
53	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
54	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
55	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
56	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
57	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
58	NoName	0.00000	0.00000	0.00000	0.55905	0.00000	0.44095
59	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
60	NoName	0.00000	0.00000	0.00000	0.55905	0.00000	0.44094
61	NoName	0.00000	0.00000	0.00000	0.55905	0.00001	0.44094
62	NoName	0.00000	0.00000	0.00000	0.55906	0.00000	0.44094
