199801_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500
1	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
2	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
3	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
4	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
5	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
6	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
7	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
8	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
9	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
10	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
11	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
12	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
13	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
14	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
15	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
16	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
17	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
18	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
19	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
20	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
21	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
22	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
23	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
24	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
25	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
26	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
27	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
28	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
29	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
30	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
31	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
32	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000
33	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
34	0.00000	0.00000	0.00000	0.99957	0.00001	0.00042
35	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000
36	0.00000	0.00000	0.00000	0.99978	0.00000	0.00022
37	0.00000	0.00000	0.00000	0.99875	0.00010	0.00115
38	0.00000	0.00000	0.00000	0.99782	0.00010	0.00208
39	0.00000	0.00000	0.00000	0.99981	0.00018	0.00000
40	0.00000	0.00000	0.00000	0.99998	0.00002	0.00000
41	0.00000	0.00000	0.00000	0.99989	0.00004	0.00008
42	0.00000	0.00000	0.00000	0.99995	0.00000	0.00005
43	0.00000	0.00000	0.00000	0.99663	0.00001	0.00336
44	0.00000	0.00000	0.00000	0.99698	0.00077	0.00225
45	0.00000	0.00000	0.00000	0.99982	0.00000	0.00018
46	0.00000	0.00000	0.00000	0.99951	0.00002	0.00047
47	0.00000	0.00000	0.00000	0.99890	0.00000	0.00110
48	0.00000	0.00000	0.00000	0.99979	0.00000	0.00021
49	0.00000	0.00000	0.00000	0.99994	0.00000	0.00006
50	0.00000	0.00000	0.00000	0.99998	0.00000	0.00001
51	0.00000	0.00000	0.00000	0.99937	0.00000	0.00063
52	0.00000	0.00000	0.00000	0.99975	0.00000	0.00024
53	0.00000	0.00000	0.00000	0.99984	0.00016	0.00000
54	0.00000	0.00000	0.00000	0.99936	0.00064	0.00000
55	0.00000	0.00000	0.00000	0.99828	0.00172	0.00000
56	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
57	0.00000	0.00000	0.00000	0.99999	0.00001	0.00000
58	0.00000	0.00000	0.00000	0.99976	0.00024	0.00000
59	0.00000	0.00000	0.00000	0.99954	0.00046	0.00000
60	0.00000	0.00000	0.00000	0.99901	0.00097	0.00001
61	0.00000	0.00000	0.00000	0.99998	0.00002	0.00000
62	0.00000	0.00000	0.00000	0.99997	0.00003	0.00000
