chrom	start	end	rate
NC_053451.1	0	100000	9.134047142e-08
NC_053451.1	100000	200000	2.03695792e-07
NC_053451.1	200000	300000	9.400126409e-08
NC_053451.1	300000	400000	1.551198568e-07
NC_053451.1	400000	500000	5.835522438e-07
NC_053451.1	500000	600000	2.728516594e-07
NC_053451.1	600000	700000	2.328121255e-07
NC_053451.1	700000	800000	3.895023311e-07
NC_053451.1	800000	900000	5.770095538e-07
NC_053451.1	900000	1000000	4.158081731e-07
NC_053451.1	1000000	1100000	2.744567285e-07
NC_053451.1	1100000	1200000	1.838063845e-07
NC_053451.1	1200000	1300000	5.166819389e-07
NC_053451.1	1300000	1400000	2.069800191e-07
NC_053451.1	1400000	1500000	3.676067716e-07
NC_053451.1	1500000	1600000	6.166223198e-07
NC_053451.1	1600000	1700000	5.806222801e-07
NC_053451.1	1700000	1800000	5.778133301e-07
NC_053451.1	1800000	1900000	5.955030855e-07
NC_053451.1	1900000	2000000	7.009519183e-07
NC_053451.1	2000000	2100000	7.009519183e-07
NC_053451.1	2100000	2200000	6.769028984e-07
NC_053451.1	2200000	2300000	6.509970984e-07
NC_053451.1	2300000	2400000	4.801674345e-07
NC_053451.1	2400000	2500000	5.222583917e-07
NC_053451.1	2500000	2600000	7.123052421e-07
NC_053451.1	2600000	2700000	4.129571128e-07
NC_053451.1	2700000	2800000	4.928570273e-07
NC_053451.1	2800000	2900000	7.301500912e-07
NC_053451.1	2900000	3000000	8.522727887e-07
NC_053451.1	3000000	3100000	6.21194576e-07
NC_053451.1	3100000	3200000	6.40661865e-07
NC_053451.1	3200000	3300000	5.567656066e-07
NC_053451.1	3300000	3400000	4.483773779e-07
NC_053451.1	3400000	3500000	4.797470409e-07
NC_053451.1	3500000	3600000	5.29402641e-07
NC_053451.1	3600000	3700000	5.957528579e-07
NC_053451.1	3700000	3800000	6.750070168e-07
NC_053451.1	3800000	3900000	2.697001894e-07
NC_053451.1	3900000	4000000	3.23844111e-07
NC_053451.1	4000000	4100000	3.215653126e-07
NC_053451.1	4100000	4200000	3.197162628e-07
NC_053451.1	4200000	4300000	3.311679541e-07
NC_053451.1	4300000	4400000	2.755496872e-07
NC_053451.1	4400000	4500000	4.423071442e-07
NC_053451.1	4500000	4600000	4.356048688e-07
NC_053451.1	4600000	4700000	1.899768018e-07
NC_053451.1	4700000	4800000	3.324489158e-07
NC_053451.1	4800000	4900000	5.281293936e-07
NC_053451.1	4900000	5000000	4.573673037e-07
NC_053451.1	5000000	5100000	4.081919611e-07
NC_053451.1	5100000	5200000	2.592621368e-07
NC_053451.1	5200000	5300000	2.823059008e-07
NC_053451.1	5300000	5400000	3.158817879e-07
NC_053451.1	5400000	5500000	3.639712054e-07
NC_053451.1	5500000	5600000	2.053726116e-07
NC_053451.1	5600000	5700000	2.035263014e-07
NC_053451.1	5700000	5800000	1.508630882e-07
NC_053451.1	5800000	5900000	1.745374821e-07
NC_053451.1	5900000	6000000	1.831949321e-07
NC_053451.1	6000000	6100000	1.890443821e-07
NC_053451.1	6100000	6200000	1.462555121e-07
NC_053451.1	6200000	6300000	4.355663668e-08
NC_053451.1	6300000	6400000	3.529426943e-08
NC_053451.1	6400000	6500000	1.244170683e-07
NC_053451.1	6500000	6600000	9.928284463e-08
NC_053451.1	6600000	6700000	7.665064076e-08
NC_053451.1	6700000	6800000	7.515766627e-08
NC_053451.1	6800000	6900000	1.471356285e-08
NC_053451.1	6900000	7000000	3.129124013e-08
NC_053451.1	7000000	7100000	3.914570595e-08
NC_053451.1	7100000	7200000	1.66747762e-08
NC_053451.1	7200000	7300000	1.377177061e-08
NC_053451.1	7300000	7400000	1.539118448e-08
NC_053451.1	7400000	7500000	1.066313384e-08
NC_053451.1	7500000	7600000	5.530991934e-09
NC_053451.1	7600000	7700000	3.388520022e-09
NC_053451.1	7700000	7800000	1.918371298e-09
NC_053451.1	7800000	7900000	2.660690787e-09
NC_053451.1	7900000	8000000	1.053951483e-09
NC_053451.1	8000000	8100000	6.072431667e-10
NC_053451.1	8100000	8200000	5.576243055e-10
NC_053451.1	8200000	8300000	8.273406057e-10
NC_053451.1	8300000	8400000	8.747488409e-09
NC_053451.1	8400000	8500000	1.300642183e-09
NC_053451.1	8500000	8600000	4.654439765e-10
NC_053451.1	8600000	8700000	1.342341486e-10
NC_053451.1	8700000	8800000	5.108968724e-10
NC_053451.1	8800000	8900000	3.195257112e-10
NC_053451.1	8900000	9000000	1.395834457e-09
NC_053451.1	9000000	9100000	4.060144312e-09
NC_053451.1	9100000	9200000	5.260850266e-09
NC_053451.1	9200000	9300000	4.348787345e-09
NC_053451.1	9300000	9400000	1.834191181e-08
NC_053451.1	9400000	9500000	3.193476585e-08
NC_053451.1	9500000	9600000	3.279110189e-08
NC_053451.1	9600000	9700000	3.860738106e-08
NC_053451.1	9700000	9800000	3.450360726e-08
NC_053451.1	9800000	9900000	6.101575856e-08
NC_053451.1	9900000	10000000	6.076916475e-08
NC_053451.1	10000000	10100000	4.005875909e-08
NC_053451.1	10100000	10200000	4.208870278e-08
NC_053451.1	10200000	10300000	7.842850117e-08
NC_053451.1	10300000	10400000	9.062160752e-08
NC_053451.1	10400000	10500000	8.770173179e-08
NC_053451.1	10500000	10600000	1.148283231e-07
NC_053451.1	10600000	10700000	1.064542963e-07
NC_053451.1	10700000	10800000	1.09935396e-07
NC_053451.1	10800000	10900000	1.099950589e-07
NC_053451.1	10900000	11000000	1.099950589e-07
NC_053451.1	11000000	11100000	1.099950589e-07
NC_053451.1	11100000	11200000	1.503402353e-07
NC_053451.1	11200000	11300000	2.454395798e-07
NC_053451.1	11300000	11400000	2.454395798e-07
NC_053451.1	11400000	11500000	2.542436755e-07
NC_053451.1	11500000	11600000	2.645913437e-07
NC_053451.1	11600000	11700000	2.976666004e-07
NC_053451.1	11700000	11800000	2.781576832e-07
NC_053451.1	11800000	11900000	9.970761017e-08
NC_053451.1	11900000	12000000	2.290952945e-07
NC_053451.1	12000000	12100000	2.43129223e-07
NC_053451.1	12100000	12200000	2.444774729e-07
NC_053451.1	12200000	12300000	3.107192126e-07
NC_053451.1	12300000	12400000	1.857508845e-07
NC_053451.1	12400000	12500000	3.008415799e-07
NC_053451.1	12500000	12600000	3.077457693e-07
NC_053451.1	12600000	12700000	2.678545191e-07
