site.id	RT-R_diff	RT-R_lwr	RT-R_upr	RT-R_p_value_adjusted	T-R_diff	T-R_lwr	T-R_upr	T-R_p_value_adjusted	T-RT_diff	T-RT_lwr	T-RT_upr	T-RT_p_value_adjusted	pop1	pop2	pst	rank	RU_13_T_NB027_BL_ADL_M	RU_13_T_NB028_BL_ADL_F	RU_13_T_NB029_BL_ADL_F	RU_13_T_NB031_BL_ADL_F	RU_13_T_NB033_BL_ADL_F	US_02_E_2171.28178_BL_ADL_U	US_02_E_2171.28179_BL_ADL_U	US_02_E_2171.28186_BL_ADL_U	US_02_E_2171.28193_BL_ADL_U	US_02_E_3121.88807_BL_ADL_U	US_02_E_3121.88831_BL_ADL_U	US_02_E_3121.88841_BL_ADL_U	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	extra	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	category	loci.id	Rr	Rr.var	T	T.var	RT	RT.var	type
chr26_4024119	0.0129150176846259	-0.0473472538860082	0.07317728925526	0.857197001859099	0.159176236202651	0.0971146958454334	0.22123777655987	2.1279002719865e-06	0.146261218518026	0.0815945739746659	0.210927863061385	1.59003962514337e-05	rustica.r	tytleri	0.499705684138821	1	0.542635658914729	0.40650406504065	0.375	0.419047619047619	0.305343511450382	0.315068493150685	0.291208791208791	0.258741258741259	0.360902255639098	0.111111111111111	0.183333333333333	0.376811594202899	chr26	4024120	4024119	+	1	NA	Intergenic	NA	Intergenic	-14433	XM_040085780.1	FOXP4	XM_040085780	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr26_4024119	0.243112542726895	0.00291423920822133	0.402288778929547	0.00552397548701553	0.256027560411521	0.00159362260872949	rustica dominant
chr13_18691729	-0.0561995148464689	-0.211914233056231	0.099515203363293	0.649091904547444	-0.361456247408999	-0.521820186844319	-0.201092307973678	1.67525550381908e-05	-0.30525673256253	-0.47235213189273	-0.138161333232329	0.000294732988950219	rustica.r	tytleri	0.493768532382635	2	0.517241379310345	0.487179487179487	0.296052631578947	0.25	0.256410256410256	0.389473684210526	0.634615384615385	0.247311827956989	0.604395604395604	0.352941176470588	0.300813008130081	0.569767441860465	chr13	18691730	18691729	+	1	NA	Intergenic	NA	Intergenic	-81120	XM_040078368.1	LOC120759257	XM_040078368	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr13_18691729	0.781549928625466	0.0228654288641617	0.420093681216468	0.0194583411437394	0.725350413778997	0.0219635278666367	rustica dominant
chr24_5085871	0.0653549235089907	-0.0138027999531326	0.144512646971114	0.12002921353477	0.151090659364977	0.0697638295394674	0.232417489190487	0.000264721745088625	0.0857357358559865	0.00440890603047671	0.167062565681496	0.0373314313802714	rustica.r	tytleri	0.43347779444992	3	0.588957055214724	0.551111111111111	0.471204188481675	0.618556701030928	0.533707865168539	0.452830188679245	0.378109452736318	0.468571428571429	0.256410256410256	0.361538461538462	0.430051813471503	0.557142857142857	chr24	5085872	5085871	+	1	NA	Intergenic	NA	Intergenic	-31523	XR_005703932.1	LOC120762636	XR_005703933	NA	NA	NA	NA	NA	lnc_RNA	opensea_Intergenic	chr24_5085871	0.419796163838306	0.00393273293156133	0.570886823203283	0.00375328320264959	0.485151087347297	0.00738891565815759	rustica dominant
chr26_4024109	0.0101275241877223	-0.0823318913569324	0.102586939732377	0.960373311972081	0.152231395884348	0.0570113917312752	0.247451400037421	0.0013335746467058	0.142103871696626	0.0428868988896039	0.241320844503648	0.0038955692023227	rustica.r	tytleri	0.425037756201524	4	0.716535433070866	0.680672268907563	0.590909090909091	0.638095238095238	0.548387096774194	0.5	0.532934131736527	0.478571428571429	0.443548387096774	0.347222222222222	0.478632478632479	0.681159420289855	chr26	4024110	4024109	+	1	NA	Intergenic	NA	Intergenic	-14443	XM_040085780.1	FOXP4	XM_040085780	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr26_4024109	0.471698421729672	0.00525689472930564	0.62392981761402	0.00327241571593808	0.481825945917395	0.0143609455839912	rustica dominant
chr05_52235640	0.128391476512906	0.0327296236368937	0.224053329388918	0.00711148365240044	0.185466313273264	0.0737573360824978	0.29717529046403	0.000985673925870345	0.0570748367603576	-0.0582976987814291	0.172447372302144	0.445848160240938	rustica.r	tytleri	0.421994142497696	5	NA	0.868852459016393	NA	0.907894736842105	0.78494623655914	NA	0.787878787878788	0.51063829787234	0.625	NA	0.767441860465116	NA	chr05	52235641	52235640	+	1	NA	intron 	XR_005701510.1, intron 1 of 2)	lnc_RNA-intron (XR_005701510.1, intron 1 of 2)	46629	XR_005701510.1	LOC120754649	XR_005701510	NA	NA	NA	NA	NA	lnc_RNA	opensea_intron 	chr05_52235640	0.638897498642805	0.00709903421320432	0.824363811916068	0.00403492653128979	0.767288975155711	0.0114301246694146	tytleri dominant
chr03_74573954_74575936	0.00863416631751764	-0.0176415598693343	0.0349098925043695	0.698168212251201	0.0303708396547553	0.00331059119981377	0.0574310881096969	0.0254035056414599	0.0217366733372377	-0.00645946001714789	0.0499328066916233	0.155261238152639	rustica.r	tytleri	0.405508780170019	6	0.130623478352916	0.128522062732589	0.111234328854466	0.0918985801777889	0.0978260869565218	0.189285714285714	0.0884892086330935	0.100918458781362	0.0738421784933412	0.0881642512077295	0.0443985307621672	0.0724358974358974	chr03	74575883	74575882	+	1	NA	exon 	XM_040058912.1, exon 5 of 13)	mRNA-exon (XM_040058912.1, exon 5 of 13)	12826	XM_040058912.1	SIM1	XM_040058912	NA	NA	NA	NA	NA	mRNA	shore_exon 	chr03_74575882	0.083773131785269	0.000235333773380318	0.114143971440024	0.000203653334687331	0.0924072981027867	0.001444988822881	other
chr26_4480386	0.121661882062665	-0.16301786555134	0.406341629676669	0.547772144272589	0.522161399387894	0.228981882835473	0.815340915940314	0.00040012159792302	0.400499517325229	0.0950134550205504	0.705985579629907	0.0082965531071163	rustica.r	tytleri	0.405315600098757	7	0.837349397590361	0.380368098159509	0.886138613861386	0.876288659793814	0.464285714285714	0.436241610738255	0	0	0.798701298701299	0.864285714285714	0.825	0.867088607594937	chr26	4480387	4480386	+	1	NA	exon 	XM_040085569.1, exon 4 of 22)	mRNA-exon (XM_040085569.1, exon 4 of 22)	1743	XM_040085569.1	MOV10	XM_040085569	NA	NA	NA	NA	NA	mRNA	opensea_exon 	chr26_4480386	0.228280500079203	0.0567864086652814	0.750441899467096	0.040015106926216	0.349942382141867	0.119653915980316	rustica dominant
chr23_5239484	-0.0517580755420695	-0.1440276822011	0.0405115311169611	0.360647649093676	-0.122194685585788	-0.217219213672189	-0.0271701574993864	0.00967071931990104	-0.0704366100437182	-0.169449901452447	0.0285766813650105	0.201367747578996	rustica.r	tytleri	0.404396477880462	8	0.186046511627907	0.242424242424242	0.074468085106383	0.141025641025641	0.2	0.1875	0.326530612244898	0.253012048192771	0.182795698924731	0.191176470588235	0.153846153846154	0.325581395348837	chr23	5239485	5239484	+	1	NA	intron 	XM_040086052.1, intron 3 of 10)	mRNA-intron (XM_040086051.1, intron 3 of 11)	140685	XM_040086055.1	HIVEP3	XM_040086052	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr23_5239484	0.276604768732925	0.00443476858131034	0.154410083147137	0.00270196235077469	0.224846693190855	0.0157756501574346	other
chr01A_18927728	-0.168342879025706	-0.483796153260383	0.147110395208971	0.394941048661525	-0.526990844459821	-0.851494157599295	-0.202487531320347	0.00116377761343522	-0.358647965434115	-0.690372260970676	-0.0269236698975536	0.0321203757541234	rustica.r	tytleri	0.403963492144679	9	0.5	0	0.337837837837838	0	0	0.507936507936508	0.509090909090909	0	0.636363636363636	NA	0	0	chr01A	18927729	18927728	+	1	NA	Intergenic	NA	Intergenic	124685	XR_005700581.1	LOC120752033	XR_005700581	NA	NA	NA	NA	NA	lnc_RNA	opensea_Intergenic	chr01A_18927728	0.675639493108469	0.0554343193083558	0.148648648648649	0.0493090833898324	0.507296614082763	0.148945689531828	rustica dominant
chr19_4411400	-0.030035761313543	-0.109772319738516	0.0497007971114302	0.621711925841832	0.153978906572819	0.065745088611729	0.24221272453391	0.000574469831186475	0.184014667886362	0.0940815556991409	0.273947780073584	8.3673381081506e-05	rustica.r	tytleri	0.402820516784557	10	0.515789473684211	0.535885167464115	0.540909090909091	NA	0.450236966824645	0.478260869565217	0.319371727748691	0.495049504950495	0.322147651006711	0.373493975903614	0.428571428571429	0.274725274725275	chr19	4411401	4411400	+	1	NA	Intergenic	NA	Intergenic	21642	XM_040082745.1	UNC119	XM_040082745	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr19_4411400	0.367723089443421	0.00475995553447774	0.521701996016241	0.00353371647005347	0.337687328129878	0.00726603624176326	rustica dominant
