CHR_A	window_start_bp	window_end_bp	average_R2
11	250001	260000	0.0786390885714286
11	260001	270000	0.15007715
11	270001	280000	0.04692208
11	290001	3e+05	0.00999398
11	330001	340000	0.0170160384
11	350001	360000	0.022776
11	360001	370000	0.017499124312
11	370001	380000	0.0814848561
11	380001	390000	0.0973619758
11	410001	420000	0.04841495
11	420001	430000	0.00771952
11	460001	470000	0.03728583
11	490001	5e+05	0.03244285
11	520001	530000	0.004746095
11	540001	550000	0.0170382
11	590001	6e+05	0.040294486
11	620001	630000	0.0119261428571429
11	630001	640000	0.074770971875
11	640001	650000	0.0347119285714286
11	650001	660000	0.0187012
11	660001	670000	0.0535255957142857
11	670001	680000	0.0694654593333333
11	690001	7e+05	0.2151583566
11	700001	710000	0.176933948142857
11	710001	720000	0.04917299551875
11	750001	760000	0.0112673324978947
11	760001	770000	0.01216093525
11	770001	780000	0.0190129533461538
11	780001	790000	0.016864965
11	790001	8e+05	0.00510742638461538
11	800001	810000	0.0186229156166667
11	840001	850000	0.00890263648
11	850001	860000	0.0103438326190476
11	860001	870000	0.0105325512727273
11	870001	880000	0.0295089260777778
11	900001	910000	0.019445688
11	930001	940000	0.015483118
11	990001	1e+06	0.0143447033722222
11	1030001	1040000	0.0113535504444444
11	1040001	1050000	0.0165452731533333
11	1050001	1060000	0.00987232093666667
11	1060001	1070000	0.0112755224333333
11	1070001	1080000	0.0234904666666667
11	1100001	1110000	0.00999395385714286
11	1130001	1140000	0.0122193161
11	1140001	1150000	0.0165925599228
11	1150001	1160000	0.005686857375
11	1160001	1170000	0.0152311201111111
11	1170001	1180000	0.01509924
11	1180001	1190000	0.0170984775
11	1200001	1210000	0.01015057245
11	1210001	1220000	0.0141536092294118
11	1220001	1230000	0.0117397293875
11	1230001	1240000	0.009313834125
11	1240001	1250000	0.02199933430025
11	1250001	1260000	0.0118314886065714
11	1260001	1270000	0.009204797406
11	1270001	1280000	0.008711706
11	1290001	1300000	0.0112571895333333
11	1300001	1310000	0.015262022
11	1320001	1330000	0.021124843975
11	1330001	1340000	0.022251932
11	1350001	1360000	0.008371209
11	1360001	1370000	0.022064173
11	1410001	1420000	0.0159191560076923
11	1420001	1430000	0.0231610274213235
11	1430001	1440000	0.01131179025
11	1440001	1450000	0.0185546035871429
11	1450001	1460000	0.01268225
11	1460001	1470000	0.0115645938
11	1510001	1520000	0.0156933017407407
11	1520001	1530000	0.0136627744247222
11	1530001	1540000	0.00706957936363636
11	1560001	1570000	0.0391152592173913
11	1570001	1580000	0.0103731253451111
11	1580001	1590000	0.00918452405882353
11	1600001	1610000	0.01887452
11	1620001	1630000	0.0109798545
11	1640001	1650000	0.0322414955465116
11	1650001	1660000	0.0190738264487302
11	1670001	1680000	0.0113703738986667
11	1680001	1690000	0.0120018830245902
11	1690001	1700000	0.0117370899952366
11	1700001	1710000	0.0143708814958378
11	1710001	1720000	0.0162536101722667
11	1720001	1730000	0.0163682502839008
11	1730001	1740000	0.0132788913841935
11	1740001	1750000	0.011751402879283
11	1750001	1760000	0.0122329654239806
11	1760001	1770000	0.014545886588
11	1770001	1780000	0.0142481483320755
11	1780001	1790000	0.0136675974426266
11	1790001	1800000	0.01648701969
11	1800001	1810000	0.0170877556149733
11	1820001	1830000	0.016208615234086
11	1830001	1840000	0.0139587729916176
11	1850001	1860000	0.0220427124448276
