site.id	R-G_diff	R-G_lwr	R-G_upr	R-G_p_value_adjusted	RG-G_diff	RG-G_lwr	RG-G_upr	RG-G_p_value_adjusted	RG-R_diff	RG-R_lwr	RG-R_upr	RG-R_p_value_adjusted	pop1	pop2	pst	rank	RU_13_R_VN96110_BL_ADL_M	RU_13_R_VN96113_BL_ADL_F	RU_13_R_VN96116_BL_ADL_M	RU_13_R_VN96117_BL_ADL_F	RU_13_R_VN96118_BL_ADL_F	RU_13_R_VN96122_BL_ADL_F	US_02_E_2171.28179_BL_ADL_U	US_02_E_2171.28186_BL_ADL_U	US_02_E_2171.28193_BL_ADL_U	US_02_E_3121.88807_BL_ADL_U	US_02_E_3121.88831_BL_ADL_U	US_02_E_3121.88841_BL_ADL_U	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	extra	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	category	loci.id	Rr	Rr.var	G	G.var	RG	RG.var	type
chr12_20582389	-0.238127923854057	-0.35421788408597	-0.122037963622144	7.51174161875978e-05	-0.0873088132602427	-0.203398773492156	0.0287811469716704	0.167879424134442	0.150819110593814	0.0290629331188628	0.272575288068766	0.0130503749590217	gutturalis	rustica.r	0.599441984736629	1	0.285714285714286	0.364864864864865	0.342857142857143	0.0983606557377049	0.368421052631579	0.328358208955224	0.462686567164179	0.058252427184466	0.272727272727273	0.530612244897959	0.0983606557377049	0.16	chr12	20582390	20582389	+	1	NA	intron 	XM_040076181.1, intron 6 of 36)	mRNA-intron (XM_040076181.1, intron 6 of 36)	21098	XM_040076181.1	PLXND1	XM_040076181	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr12_20582389	0.306002156655376	0.0077269535535925	0.544130080509433	0.004406806104993	0.45682126724919	0.0218770762153475	gutturalis dominant
chr20_15023422_15024466	-0.426373677616397	-0.672322397315052	-0.180424957917742	0.000592745730090383	-0.10399171925564	-0.349940438954295	0.141957000443015	0.552438533348802	0.322381958360757	0.0644287649446866	0.580335151776827	0.0122233220089825	gutturalis	rustica.r	0.501698934284987	2	0.0795419337518262	0.0692685415558085	0.476894137508883	0.102301348370128	0.333072226708954	0.554754947131738	0.542066226934638	0.363779429226668	0.800711182169041	0.568086118954156	0.804058802598359	0.901448923647708	chr20	15023495	15023494	+	1	NA	Intergenic	NA	Intergenic	-23113	XM_040079843.1	ROMO1	XM_040079844	NA	NA	NA	NA	NA	mRNA	island_Intergenic	chr20_15023494	0.384623157093128	0.0551079489281469	0.810996834709525	0.0158371210667933	0.707005115453885	0.0826977578052944	gutturalis dominant
chr21_1104737	0.407577713728974	0.144230417196224	0.670925010261725	0.00227506546233414	0.0993762231146675	-0.163971073418083	0.362723519647418	0.614858617740491	-0.308201490614307	-0.593841738625081	-0.0225612426035322	0.0329775184994753	gutturalis	rustica.r	0.492724014637709	3	0.772727272727273	0.75	0.666666666666667	0.75	NA	0.519230769230769	0.0196078431372549	0.714285714285714	0.545454545454545	0.457142857142857	0.728813559322034	0.306122448979592	chr21	1104738	1104737	+	1	NA	Intergenic	NA	Intergenic	-21288	XM_040084860.1	LOC120762437	XM_040084860	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr21_1104737	0.671289854062963	0.0130016629721902	0.263712140333989	0.0396550177025603	0.363088363448657	0.0848333992923078	gutturalis dominant
chr07_37837054	-0.307285107475304	-0.450627799058404	-0.163942415892203	4.1175228853163e-05	-0.0778547424196863	-0.221197434002787	0.0654879491634145	0.381419357640861	0.229430365055617	0.0790912818027362	0.379769448308499	0.00223800792290663	gutturalis	rustica.r	0.481870677830735	4	0.333333333333333	0.645631067961165	0.645962732919255	0.434210526315789	0.411458333333333	0.621301775147929	0.687861271676301	0.364285714285714	0.633333333333333	0.653061224489796	0.553846153846154	0.769230769230769	chr07	37837055	37837054	+	1	NA	intron 	XM_040070203.1, intron 7 of 43)	mRNA-intron (XM_040070199.1, intron 7 of 45)	8473	XM_040070203.1	FN1	XM_040070202	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr07_37837054	0.45052643679673	0.027499470193956	0.757811544272034	0.00226359695722215	0.679956801852347	0.0232043316734513	gutturalis dominant
chr15_13241970_13243970	-0.186361049399975	-0.290953366076629	-0.08176873272332	0.00043381839336265	-0.101405193396726	-0.205997510073381	0.00318712327992861	0.0586980930331319	0.0849558560032486	-0.0247414911778413	0.194653203184339	0.151943790146196	gutturalis	rustica.r	0.454040903318335	5	0.601708029138009	0.462348517263145	0.386686815230701	0.39065805734561	0.394088450946265	0.410661901765284	0.642420097376054	0.619518505734928	0.433603254064934	0.526493713043177	0.473922594425617	0.4185871161606	chr15	13242117	13242116	+	1	NA	intron 	XM_040080919.1, intron 1 of 1)	mRNA-intron (XM_040080919.1, intron 1 of 1)	77084	XM_040080919.1	RTN4R	XM_040080919	NA	NA	NA	NA	NA	mRNA	shore_intron 	chr15_13242116	0.445266642107233	0.0058064733052797	0.631627691507208	0.00870420947240924	0.530222498110482	0.0118150757997781	other
chr12_20095509	0.410896549848222	0.162757532475202	0.659035567221243	0.00114306054425506	0.222505163123755	-0.0256338542492655	0.470644180496776	0.0843419264984806	-0.188391386724467	-0.46271939221573	0.0859366187667961	0.218457098893151	gutturalis	rustica.r	0.450825398521473	6	0.621359223300971	0.622857142857143	0.369369369369369	0.68	0.471698113207547	NA	0.025	0	0.349593495934959	NA	0	0.361702127659574	chr12	20095510	20095509	+	1	NA	intron 	XM_040076400.1, intron 8 of 10)	mRNA-intron (XM_040076397.1, intron 8 of 10)	68765	XM_040076399.1	GRM7	XM_040076399	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr12_20095509	0.458816222767895	0.014718463024868	0.0479196729196729	0.0113703566911239	0.270424836043428	0.119375770903645	other
chr03_10590960	-0.206188395802014	-0.325361619109164	-0.0870151724948646	0.000631993187684476	-0.049931243496037	-0.173132957496748	0.0732704705046742	0.57787575261697	0.156257152305977	0.0274204803214267	0.285093824290527	0.0152991682716276	gutturalis	rustica.r	0.447103641905991	7	0.184782608695652	0	0.283333333333333	0.127659574468085	0.296774193548387	0.194444444444444	0.392857142857143	0.0833333333333333	0.203252032520325	0.308823529411765	0.244604316546763	0.10655737704918	chr03	10590961	10590960	+	1	NA	exon 	XR_005700017.1, exon 3 of 3)	lnc_RNA-exon (XR_005700017.1, exon 3 of 3)	34641	XR_005700017.1	LOC120750490	XR_005700017	NA	NA	NA	NA	NA	lnc_RNA	opensea_exon 	chr03_10590960	0.171284689768342	0.0116529134950529	0.377473085570356	0.00997116459348726	0.327541842074319	0.0129062905112063	gutturalis dominant
chr23_5815748_5816531	0.173829230893719	0.0934345270780103	0.254223934709428	3.65201628116374e-05	0.120505318892564	0.0401106150768556	0.200900022708273	0.00265623558238925	-0.0533239120011547	-0.137642588709089	0.0309947647067794	0.275610952346356	gutturalis	rustica.r	0.437209484615656	8	0.624677966101695	0.658124459809853	0.665579937304075	0.456633562515916	0.667139144814552	0.586037234042553	0.392004169148303	0.626263422035481	0.452496798975672	0.633268356075373	0.398282591725215	0.581362007168459	chr23	5816334	5816333	+	1	NA	Intergenic	NA	Intergenic	45246	XM_040086147.1	SDC3	XM_040086146	NA	NA	NA	NA	NA	mRNA	island_Intergenic	chr23_5816333	0.599925991487487	0.00457997746874574	0.426096760593768	0.00500241015768406	0.546602079486332	0.00600645465117392	rustica dominant
chr08_20411736_20412096	-0.235101703169827	-0.344760495063667	-0.125442911275987	4.48126939508464e-05	-0.0445186083002166	-0.150591740479866	0.0615545238794331	0.555936296294732	0.19058309486961	0.0759087665451909	0.305257423194029	0.00097517999106278	gutturalis	rustica.r	0.431748613131071	9	0.311780055912182	0.338323249359276	0.382802126411671	0.0349328920757492	0.428484766271848	0.388494103345362	0.31187987390078	0.245934157028382	0.332412965186074	0.312887933141098	0.136852359991616	0.255553444782168	chr08	20411921	20411920	+	1	NA	Intergenic	NA	Intergenic	115827	XR_005702218.1	LOC120756720	XR_005702218	NA	NA	NA	NA	NA	lnc_RNA	island_Intergenic	chr08_20411920	0.322615325514891	0.00669247517142698	0.557717028684718	0.009294683090864	0.513198420384501	0.0105786319844572	gutturalis dominant
chr01_48691529	-0.543705858937782	-0.880619191865941	-0.206792526009622	0.0012812289223616	-0.243517038350407	-0.580430371278567	0.0933962945777522	0.190672766336272	0.300188820587374	-0.0531688640541753	0.653546505228924	0.107133471936921	gutturalis	rustica.r	0.431302251962651	10	0	0	0	0	0.442105263157895	0	0.539473684210526	0.0169491525423729	0	0.0444444444444444	0.486486486486487	0.669724770642202	chr01	48691530	48691529	+	1	NA	Intergenic	NA	Intergenic	-4684	XR_005699534.1	LOC120749112	XR_005699534	NA	NA	NA	NA	NA	lnc_RNA	opensea_Intergenic	chr01_48691529	0.0491228070175439	0.0217174515235457	0.592828665955326	0.112922456297747	0.349311627604918	0.132868945174903	other
