site.id	extra	term.x	estimate.x	std.error.x	statistic.x	p.value.x	deviance.x	df.residual.x	AIC.x	BIC.x	nobs.x	dispersion_parameter.x	term.y	estimate.y	std.error.y	statistic.y	p.value.y	deviance.y	df.residual.y	AIC.y	BIC.y	nobs.y	dispersion_parameter.y	term	estimate	std.error	statistic	p.value	deviance	df.residual	AIC	BIC	nobs	dispersion_parameter	RT.R_diff	RT.R_lwr	RT.R_upr	RT.R_p_value_adjusted	T.R_diff	T.R_lwr	T.R_upr	T.R_p_value_adjusted	T.RT_diff	T.RT_lwr	T.RT_upr	T.RT_p_value_adjusted	pop1	pop2	pst	rank	Chr.x	Start.x	End.x	Strand.x	Peak.Score.x	Focus.Ratio.Region.Size.x	Annotation.x	extra.x	Detailed.Annotation.x	Distance.to.TSS.x	Nearest.PromoterID.x	Entrez.ID.x	Nearest.Unigene.x	Nearest.Refseq.x	Nearest.Ensembl.x	Gene.Name.x	Gene.Alias.x	Gene.Description.x	Gene.Type.x	category.x	loci.id.x	Rr	Rr.var	T	T.var	RT	RT.var	type	n_cpgs.x	Annotation.y	category.y	region	n_cpgs.y	RU_13_R_VN96102_BL_ADL_M	RU_13_R_VN96106_BL_ADL_M	RU_13_R_VN96110_BL_ADL_M	RU_13_R_VN96113_BL_ADL_F	RU_13_R_VN96116_BL_ADL_M	RU_13_R_VN96117_BL_ADL_F	RU_13_R_VN96118_BL_ADL_F	RU_13_R_VN96122_BL_ADL_F	RU_13_R_VN96123_BL_ADL_M	RU_13_R_VN96124_BL_ADL_F	RU_13_R_VN96298_BL_ADL_F	RU_13_R_VN96300_BL_ADL_F	RU_13_RT_VN96011_BL_ADL_F	RU_13_RT_VN96022_BL_ADL_M	RU_13_RT_VN96023_BL_ADL_M	RU_13_RT_VN96026_BL_ADL_M	RU_13_RT_VN96034_BL_ADL_M	RU_13_RT_VN96035_BL_ADL_F	RU_13_RT_VN96037_BL_ADL_M	RU_13_RT_VN96053_BL_ADL_F	RU_13_RT_VN96054_BL_ADL_F	RU_13_RT_VN96055_BL_ADL_F	RU_13_RT_VN96056_BL_ADL_M	RU_13_RT_VN96076_BL_ADL_F	RU_13_RT_VN96078_BL_ADL_F	RU_13_RT_VN96091_BL_ADL_M	RU_13_RT_VN96136_BL_ADL_M	RU_13_RT_VN96137_BL_ADL_F	RU_13_RT_VN96138_BL_ADL_M	RU_13_RT_VN96141_BL_ADL_M	RU_13_RT_VN96144_BL_ADL_M	RU_13_RT_VN96145_BL_ADL_F	RU_13_RT_VN96151_BL_ADL_M	RU_13_RT_VN96152_BL_ADL_M	RU_13_RT_VN96153_BL_ADL_F	RU_13_RT_VN96154_BL_ADL_M	RU_13_RT_VN96158_BL_ADL_M	RU_13_RT_VN96159_BL_ADL_M	RU_13_RT_VN96161_BL_ADL_M	RU_13_RT_VN96163_BL_ADL_M	RU_13_RT_VN96165_BL_ADL_F	RU_13_RT_VN96166_BL_ADL_M	RU_13_RT_VN96171_BL_ADL_F	RU_13_RT_VN96180_BL_ADL_M	RU_13_RT_VN96182_BL_ADL_M	RU_13_RT_VN96190_BL_ADL_F	RU_13_RT_VN96194_BL_ADL_M	RU_13_RT_VN96198_BL_ADL_M	RU_13_RT_VN96200_BL_ADL_M	RU_13_T_NB019_BL_ADL_M	RU_13_T_NB027_BL_ADL_M	RU_13_T_NB028_BL_ADL_F	RU_13_T_NB029_BL_ADL_F	RU_13_T_NB031_BL_ADL_F	RU_13_T_NB033_BL_ADL_F	RU_13_T_NB038_BL_ADL_M	RU_13_T_NB040_BL_ADL_F	RU_13_T_NB041_BL_ADL_F	RU_17_T_NB022_BL_ADL_M	RU_17_T_NB030_BL_ADL_F	Chr.y	Start.y	End.y	Strand.y	Peak.Score.y	Focus.Ratio.Region.Size.y	Annotation	extra.y	Detailed.Annotation.y	Distance.to.TSS.y	Nearest.PromoterID.y	Entrez.ID.y	Nearest.Unigene.y	Nearest.Refseq.y	Nearest.Ensembl.y	Gene.Name.y	Gene.Alias.y	Gene.Description.y	Gene.Type.y	category	loci.id.y
chr01A_46483209	meth	all_vcf	2.12105426590394	0.959617418585602	2.2103123857737	0.0354256131566652	12.3342691067562	28	NA	NA	32	0.440509610955577	chr01A_46483209.local	2.50614186101557	7.3950822435279	0.338893034382264	0.737218766080681	12.3342691067562	28	NA	NA	32	0.440509610955577	chr01A_46483209.snp	1.44953786718827	0.912232508694366	1.58900045040373	0.123289691929571	12.3342691067562	28	NA	NA	32	0.440509610955577	-0.417878703759707	-0.724295181151657	-0.111462226367757	0.00606656052076193	-0.579906487948823	-0.895113747583233	-0.264699228314413	0.00028332122922281	-0.162027784189116	-0.484249166580036	0.160193598201803	0.436800722406491	rustica.r	tytleri	0.340201291328764	22	chr01A	46483210	46483209	+	1	NA	Intergenic	NA	Intergenic	-5420	XM_040062857.1	PLXNC1	XM_040062856	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr01A_46483209	0.927647410268174	0.00312253178742205	0.347740922319351	0.142968321872853	0.509768706508467	0.109452123182536	tytleri dominant	1	Intergenic	opensea_Intergenic	opensea	1	0.89873417721519	1	0.929292929292929	NA	0.894736842105263	0.8625	0.959183673469388	0.953488372093023	0.922330097087379	0.963855421686747	0.82	1	0.54954954954955	NA	0.923076923076923	0.397727272727273	0.444444444444444	0.897435897435897	0	0.970588235294118	0.972602739726027	0.964285714285714	0	0.424242424242424	0.449438202247191	0.515463917525773	0.91044776119403	0.885057471264368	NA	0.33695652173913	0.442857142857143	0.814814814814815	NA	0.875	0.837209302325581	0.880952380952381	0.972727272727273	0.578947368421053	0.916666666666667	0.969387755102041	NA	0.956989247311828	0.989583333333333	1	0	0.402597402597403	0.883116883116883	0.827586206896552	0.46551724137931	0.427480916030534	0	0.965116279069767	0.53125	0.0294117647058824	0.320987654320988	0	0.4	0.913385826771654	0.855421686746988	0	chr01A	46483210	46483209	+	1	NA	Intergenic	NA	Intergenic	-5420	XM_040062857.1	PLXNC1	XM_040062856	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr01A_46483209
chr18_3182712	meth	all_vcf	-0.539562030944513	0.193893794688853	-2.78277101033772	0.00954264505911406	0.621500462112298	28	NA	NA	32	0.0221964450754392	chr18_3182712.local	3.81887760790073	4.10188122675032	0.931006383850418	0.359808556821875	0.621500462112298	28	NA	NA	32	0.0221964450754392	chr18_3182712.snp	-0.17258830026122	0.252596514172982	-0.683256856597113	0.500059721486004	0.621500462112298	28	NA	NA	32	0.0221964450754392	0.0822300534026251	0.0207200833403358	0.143740023464914	0.00707691742754524	0.112011868727054	0.048665376968647	0.17535836048546	0.000435688671244994	0.0297818153244286	-0.0362237179258159	0.0957873485746731	0.512158467422359	rustica.r	tytleri	0.313531776101287	39	chr18	3182713	3182712	+	1	NA	exon 	XM_040081839.1, exon 3 of 11)	mRNA-exon (XM_040081839.1, exon 3 of 11)	53838	XM_040081841.1	SEPTIN9	XM_040081842	NA	NA	NA	NA	NA	mRNA	opensea_exon 	chr18_3182712	0.608511518140967	0.00353677130546467	0.72052338686802	0.00321970032914713	0.690741571543592	0.00330211833079089	tytleri dominant	1	exon 	opensea_exon	opensea	1	0.666666666666667	0.556451612903226	0.585987261146497	0.559405940594059	0.6375	0.615384615384615	0.492647058823529	0.627906976744186	0.61744966442953	0.63768115942029	0.58041958041958	0.72463768115942	0.798387096774194	0.63768115942029	0.673611111111111	0.774647887323944	0.74468085106383	0.764705882352941	0.570552147239264	0.668639053254438	0.712765957446808	0.532786885245902	0.7	0.658227848101266	0.803030303030303	0.662921348314607	0.6	0.582417582417582	0.692307692307692	0.816326530612245	0.795774647887324	0.685950413223141	NA	0.576642335766423	0.584507042253521	0.677685950413223	0.642857142857143	0.727941176470588	0.644927536231884	0.565891472868217	0.694029850746269	0.744360902255639	0.815068493150685	0.710144927536232	0.666666666666667	0.661157024793388	0.762237762237762	0.762295081967213	0.604838709677419	0.833333333333333	0.662337662337662	0.710691823899371	0.695121951219512	0.691823899371069	0.694029850746269	0.76865671641791	0.680327868852459	0.656626506024096	0.664429530201342	0.764285714285714	chr18	3182713	3182712	+	1	NA	exon 	XM_040081839.1, exon 3 of 11)	mRNA-exon (XM_040081839.1, exon 3 of 11)	53838	XM_040081841.1	SEPTIN9	XM_040081842	NA	NA	NA	NA	NA	mRNA	opensea_exon 	chr18_3182712
chr13_10949578_10951578	meth	all_vcf	-0.263855420903697	0.109960255182302	-2.39955264260031	0.0233128720546923	0.168300161887393	28	NA	NA	32	0.00601072006740688	chr13_10949578_10951578.local	2.90390360971536	1.39046217442634	2.08844488050416	0.0459711232960151	0.168300161887393	28	NA	NA	32	0.00601072006740688	chr13_10949578_10951578.snp	0.057125855131599	0.0577002803181496	0.990044672514876	0.330631301677915	0.168300161887393	28	NA	NA	32	0.00601072006740688	0.0532020723870605	0.0108878300696719	0.095516314704449	0.0115001466213538	0.0645050121519617	0.0209273807613553	0.108082643542568	0.0028702433497283	0.0113029397649013	-0.0341039125780756	0.0567097921078781	0.812664549490898	rustica.r	tytleri	0.30655289097615	44	chr13	10951389	10951388	+	1	NA	Intergenic	NA	Intergenic	-4761	XM_040078544.1	IL4	XM_040078544	NA	NA	NA	NA	NA	mRNA	shore_Intergenic	chr13_10951388	0.13075040732178	0.000953215282597475	0.195255419473742	0.0023907469969465	0.18395247970884	0.00167262891203504	tytleri dominant	4	Intergenic	shore_Intergenic	shore	4	0.111421533285268	0.119878144654088	0.180233602875112	0.136363636363636	0.145082226438963	0.0866927559218012	0.0941073015824782	0.167933723196881	0.16843395252838	0.107843137254902	0.107592391304348	0.143422482455501	0.159360293794256	0.145165321716775	0.168229166666667	0.192730651925276	0.159622153209109	0.177283653846154	0.0970194587036314	0.194186046511628	0.160330948121646	0.132341920374707	0.189471601937503	0.182589285714285	0.193734335839599	0.195954854934711	0.158500343170899	0.163690476190476	0.166837951062536	0.169621496924129	0.14004771832866	0.161970261729196	NA	0.0864732647356213	0.0847926036981509	0.166751787538304	0.14692258954314	0.158807743914127	0.220634606427573	0.153918191846199	0.124238054240207	0.13359179197995	0.176729024943311	0.104525959159558	0.161830357142857	0.137481146304676	0.228692201518288	0.16274886877828	0.273238182325636	0.22159124519373	0.185515873015873	0.25452736318408	0.155239490183986	0.2309151164393	0.107680722891566	0.240227973780605	0.18969298245614	0.231815732758621	0.211146350106308	0.150454640468227	chr13	10951389	10951388	+	1	NA	Intergenic	NA	Intergenic	-4761	XM_040078544.1	IL4	XM_040078544	NA	NA	NA	NA	NA	mRNA	shore_Intergenic	chr13_10951388
chr10_1464627	meth	all_vcf	-0.754274611528538	0.366749046225249	-2.05665050609369	0.0485073801808155	3.63654366940893	30	NA	NA	33	0.121218122313631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr10_1464627.snp	0.0952484227568203	0.149833899230736	0.635693412811361	0.529796122498907	3.63654366940893	30	NA	NA	33	0.121218122313631	0.00639439383233786	-0.114126980352657	0.126915768017332	0.990508365125506	0.223313111737207	0.0993340998786775	0.347292123595737	0.000365264302856549	0.216918717904869	0.0901808736215566	0.343656562188182	0.000657974372119674	rustica.r	tytleri	0.294465208842591	62	chr10	1464628	1464627	+	1	NA	Intergenic	NA	Intergenic	23273	XM_040077247.1	LINGO1	XM_040077249	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr10_1464627	0.31348613764124	0.00724526464576383	0.536799249378447	0.0155298657954563	0.319880531473578	0.0152752486963453	rustica dominant	1	Intergenic	opensea_Intergenic	opensea	1	0.217821782178218	0.225806451612903	0.225	0.42	0.384615384615385	0.204819277108434	NA	0.394736842105263	0.372340425531915	0.262135922330097	0.357142857142857	0.383928571428571	0.684210526315789	0.333333333333333	0.303571428571429	0.726190476190476	0.641509433962264	0.346938775510204	0.691588785046729	0.535714285714286	0.469135802469136	0.263888888888889	0.327586206896552	0.368421052631579	0.315068493150685	0.314606741573034	0.386363636363636	0.150943396226415	0.388888888888889	0.277227722772277	0.303571428571429	0.3	NA	0.0571428571428571	0.0571428571428571	0.442622950819672	0.302325581395349	0.291666666666667	0.173076923076923	NA	0.485714285714286	0.528089887640449	0.545454545454545	0.448275862068966	0.137931034482759	0.26	0.623188405797101	0.235294117647059	0.229508196721311	0.280487804878049	0.44	0.638297872340426	0.564814814814815	0.6	0.684210526315789	0.631578947368421	0.282051282051282	0.5	0.491803278688525	0.5	chr10	1464628	1464627	+	1	NA	Intergenic	NA	Intergenic	23273	XM_040077247.1	LINGO1	XM_040077249	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr10_1464627
chr32_697482	meth	all_vcf	0.987125238197814	0.412028222405506	2.39577093150264	0.0228093194976775	3.90154797269033	31	NA	NA	34	0.125856386215817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr32_697482.snp	0.328700610710268	0.319011841528661	1.03037118978148	0.310808233226962	3.90154797269033	31	NA	NA	34	0.125856386215817	-0.0518650364480455	-0.233431742510007	0.129701669613916	0.759015200617816	-0.215836880196181	-0.403541204804769	-0.0281325555875917	0.0219617179469171	-0.163971843748135	-0.360261324749501	0.0323176372532308	0.114328256457048	rustica.r	tytleri	0.283306937163391	72	chr32	697483	697482	+	1	NA	Intergenic	NA	Intergenic	10647	XM_040088624.1	LOC120764617	XM_040088625	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr32_697482	0.83082854663537	0.00605747915156752	0.61499166643919	0.0356942175312375	0.778963510187325	0.0433895812729386	other	1	Intergenic	opensea_Intergenic	opensea	1	0.75	0.846153846153846	0.772151898734177	1	0.888888888888889	0.758620689655172	0.861386138613861	0.829268292682927	NA	0.894736842105263	0.753424657534247	0.78448275862069	0.854166666666667	0.848101265822785	0.823529411764706	0.583333333333333	0.505050505050505	0.333333333333333	0.379746835443038	0.82	0.820224719101124	0.524752475247525	0.705882352941177	0.846153846153846	0.644859813084112	0.865384615384615	NA	0.583333333333333	0.703125	0.854166666666667	0.779661016949153	NA	NA	0.703703703703704	0.632183908045977	0.735849056603774	0.917808219178082	0.931818181818182	0.851851851851852	0.859649122807018	0.853333333333333	0.865384615384615	0.82051282051282	0.794642857142857	0.887096774193548	0.8125	0.255813953488372	0.795081967213115	0.821052631578947	0.333333333333333	0.808823529411765	0.73394495412844	0.649484536082474	0.592592592592593	0.4	0.868421052631579	0.25	0.52	NA	0.533333333333333	chr32	697483	697482	+	1	NA	Intergenic	NA	Intergenic	10647	XM_040088624.1	LOC120764617	XM_040088625	NA	NA	NA	NA	NA	mRNA	opensea_Intergenic	chr32_697482
chr22_3509284	meth	all_vcf	0.398020206965869	0.193321139698372	2.05885506151515	0.0485896701848246	0.515732416130216	29	NA	NA	32	0.0177838764182833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr22_3509284.snp	0.0505447339445575	0.0915433509883087	0.552139870333267	0.585083039623065	0.515732416130216	29	NA	NA	32	0.0177838764182833	0.0381166766324897	0.00301941592581846	0.073213937339161	0.0311976324157491	0.0542772752641574	0.0181321050771723	0.0904224454511425	0.00250197314137013	0.0161605986316676	-0.0215018064421883	0.0538230037055236	0.545171293206888	rustica.r	tytleri	0.2807814039338	79	chr22	3509285	3509284	+	1	NA	exon 	XM_040087679.1, exon 10 of 10)	mRNA-exon (XM_040087679.1, exon 10 of 10)	-5200	XM_040087603.1	R3HCC1	XM_040087603	NA	NA	NA	NA	NA	mRNA	opensea_exon 	chr22_3509284	0.828021862362468	0.00143575316648077	0.882299137626626	0.0011337377231488	0.866138538994958	0.000651696180997206	tytleri dominant	1	exon 	opensea_exon	opensea	1	0.795698924731183	0.785714285714286	0.824175824175824	0.879518072289157	0.861111111111111	0.831325301204819	0.75	0.837837837837838	0.828125	0.814814814814815	0.875	0.852941176470588	0.788235294117647	0.916666666666667	0.860759493670886	0.75	0.774647887323944	0.842105263157895	0.936170212765957	0.861702127659574	0.794117647058823	0.894736842105263	0.868421052631579	0.903614457831325	0.704761904761905	0.831932773109244	0.877358490566038	0.822784810126582	0.857142857142857	0.843373493975904	0.843137254901961	0.830357142857143	NA	0.782608695652174	0.764044943820225	0.876106194690266	0.895348837209302	0.883720930232558	0.766129032258065	0.887755102040816	0.862745098039216	0.88659793814433	0.887640449438202	0.821052631578947	0.86	0.858407079646018	0.8625	0.809090909090909	0.882352941176471	0.855263157894737	0.882352941176471	0.895238095238095	0.888888888888889	0.868217054263566	0.895833333333333	0.844444444444444	0.986666666666667	0.935897435897436	0.853932584269663	0.956521739130435	chr22	3509285	3509284	+	1	NA	exon 	XM_040087679.1, exon 10 of 10)	mRNA-exon (XM_040087679.1, exon 10 of 10)	-5200	XM_040087603.1	R3HCC1	XM_040087603	NA	NA	NA	NA	NA	mRNA	opensea_exon 	chr22_3509284
chr04_71927704	meth	all_vcf	-0.483286369891893	0.167604680532161	-2.88348969943688	0.00708883204533049	0.793129921981373	31	NA	NA	34	0.0255848361929475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr04_71927704.snp	0.000520693361425673	0.0976551823903889	0.00533195831168627	0.995779898327545	0.793129921981373	31	NA	NA	34	0.0255848361929475	0.0665815394481201	0.00111093929934684	0.132052139596893	0.0456389130476309	0.0860982303618648	0.0186728547919803	0.153523605931749	0.0102132536615778	0.0195166909137446	-0.0507389419642611	0.0897723237917504	0.77273060886247	rustica.r	tytleri	0.277884215054534	83	chr04	71927705	71927704	+	1	NA	intron 	XM_040064988.1, intron 1 of 4)	mRNA-intron (XM_040064986.1, intron 1 of 4)	-37199	XM_040064989.1	MAML3	XM_040064988	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr04_71927704	0.300874238287499	0.00422771993991193	0.386972468649364	0.0015393393661161	0.367455777735619	0.00534524929847875	tytleri dominant	1	intron 	opensea_intron	opensea	1	0.287234042553192	0.238095238095238	0.333333333333333	0.355263157894737	0.415584415584416	0.352380952380952	0.279411764705882	0.326530612244898	0.227272727272727	0.282051282051282	0.18	0.333333333333333	0.356435643564356	0.377049180327869	0.382978723404255	0.359550561797753	0.392156862745098	0.508474576271186	0.488095238095238	0.34020618556701	0.276190476190476	0.471544715447154	0.366336633663366	0.46	0.442105263157895	0.310679611650485	0.384615384615385	0.152380952380952	0.317460317460317	0.450549450549451	0.238532110091743	0.294117647058824	NA	0.295238095238095	0.338983050847458	0.38	0.333333333333333	0.43	0.298611111111111	0.322222222222222	0.492063492063492	0.327433628318584	0.285714285714286	0.284210526315789	0.428571428571429	0.176470588235294	0.371428571428571	0.25	0.441558441558442	0.416666666666667	0.421875	0.378787878787879	0.422222222222222	0.383116883116883	0.407894736842105	0.389830508474576	0.4	0.381818181818182	0.364485981308411	0.297872340425532	chr04	71927705	71927704	+	1	NA	intron 	XM_040064988.1, intron 1 of 4)	mRNA-intron (XM_040064986.1, intron 1 of 4)	-37199	XM_040064989.1	MAML3	XM_040064988	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr04_71927704
chr04A_3602883	meth	all_vcf	-0.360793584262231	0.174318237412885	-2.06974089238676	0.0478159701364855	0.48239341917358	28	NA	NA	32	0.0172283363990564	chr04A_3602883.local	1.0948922451925	2.087791199733	0.524426123327142	0.604109571503138	0.48239341917358	28	NA	NA	32	0.0172283363990564	chr04A_3602883.snp	-0.0788540447936048	0.0936239900457886	-0.842241873637726	0.406789362736536	0.48239341917358	28	NA	NA	32	0.0172283363990564	-0.0166261328229287	-0.0630675546435745	0.0298152889977171	0.653539131414622	-0.0637466855429407	-0.111574722877881	-0.0159186482080005	0.00725506981621182	-0.047120552720012	-0.0969562266614404	0.00271512122141634	0.066602295698063	rustica.r	tytleri	0.266781830906021	103	chr04A	3602884	3602883	+	1	NA	intron 	XM_040083908.1, intron 3 of 8)	mRNA-intron (XM_040083908.1, intron 3 of 8)	12600	XM_040083908.1	LOC120761998	XM_040083908	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr04A_3602883	0.840962553312347	0.00228550881864461	0.777215867769407	0.00131705815040637	0.824336420489419	0.0020139760891355	other	1	intron 	opensea_intron	opensea	1	0.828571428571429	0.8	0.831683168316832	0.791044776119403	0.818181818181818	0.914285714285714	0.917525773195876	0.824074074074074	0.762886597938144	0.877551020408163	0.850746268656716	0.875	0.841726618705036	NA	0.866666666666667	0.857142857142857	0.869565217391304	0.80672268907563	0.815126050420168	0.753846153846154	0.761467889908257	0.795180722891566	0.773109243697479	0.819277108433735	0.878260869565217	0.805084745762712	0.727272727272727	0.785714285714286	0.719101123595506	0.888888888888889	0.827586206896552	0.826086956521739	NA	0.795620437956204	0.791044776119403	0.758620689655172	0.825757575757576	0.935483870967742	0.795774647887324	0.805825242718447	0.84070796460177	0.771084337349398	0.782608695652174	0.725274725274725	0.787234042553192	0.894230769230769	0.847826086956522	0.805825242718447	0.795918367346939	0.744444444444444	0.738738738738739	0.798076923076923	0.841269841269841	0.824561403508772	0.77	0.75	0.666666666666667	0.635294117647059	0.769230769230769	0.758620689655172	chr04A	3602884	3602883	+	1	NA	intron 	XM_040083908.1, intron 3 of 8)	mRNA-intron (XM_040083908.1, intron 3 of 8)	12600	XM_040083908.1	LOC120761998	XM_040083908	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr04A_3602883
chr18_2090391	meth	all_vcf	0.826268637552859	0.379493505476122	2.17729322275542	0.0380441609191444	1.57431801279433	28	NA	NA	32	0.0562256433140833	chr18_2090391.local	-6.66220343041671	8.59677382246189	-0.774965535676827	0.444855757372581	1.57431801279433	28	NA	NA	32	0.0562256433140833	chr18_2090391.snp	0.114101456786693	0.210375105817074	0.54237147662284	0.591853646460142	1.57431801279433	28	NA	NA	32	0.0562256433140833	-0.0414658354808757	-0.100403123702553	0.0174714527408018	0.208125561246115	-0.0823602404168563	-0.14305723699833	-0.0216632438353824	0.00625014532568902	-0.0408944049359806	-0.104139227416884	0.0223504175449231	0.262354886957762	rustica.r	tytleri	0.264148085509504	111	chr18	2090392	2090391	+	1	NA	intron 	XM_040081724.1, intron 1 of 1)	mRNA-intron (XM_040081724.1, intron 1 of 1)	7103	XM_040081724.1	LOC120760943	XM_040081724	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr18_2090391	0.166432392533475	0.00399909282473558	0.0840721521166188	0.000908663368233718	0.124966557052599	0.0039324293366166	other	1	intron 	opensea_intron	opensea	1	0.122340425531915	0.132978723404255	0.111111111111111	0.287671232876712	0.120481927710843	0.160550458715596	0.18562874251497	0.129353233830846	0.26984126984127	0.147239263803681	0.100917431192661	0.229074889867841	0.0619834710743802	0.258620689655172	0.147368421052632	0.0842105263157895	0.0987654320987654	0.12987012987013	0.0411764705882353	0.177914110429448	0.207253886010363	0.138613861386139	0.172248803827751	0.0387096774193548	NA	0.12565445026178	0.179190751445087	0.26063829787234	0.154838709677419	NA	0.126506024096386	0.0839160839160839	NA	0.0184049079754601	0.0232558139534884	0.179487179487179	0.208333333333333	0.233644859813084	0.0993377483443709	0.111627906976744	0.291390728476821	0.404109589041096	0.266666666666667	0.0817610062893082	0.0625	0.0649350649350649	0.0955882352941176	0.0821917808219178	0.102564102564103	0.0677966101694915	0.0612244897959184	0.125	0.0972222222222222	0.0718562874251497	0.0507246376811594	0.0632183908045977	0.105527638190955	0.103286384976526	0.0813953488372093	0.138211382113821	chr18	2090392	2090391	+	1	NA	intron 	XM_040081724.1, intron 1 of 1)	mRNA-intron (XM_040081724.1, intron 1 of 1)	7103	XM_040081724.1	LOC120760943	XM_040081724	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr18_2090391
chr22_2828921	meth	all_vcf	0.828569718752264	0.398083635047369	2.08139608314637	0.0460303634200833	3.96239834704165	30	NA	NA	34	0.132079944901388	chr22_2828921.local	5.81286469841916	5.96230855284404	0.974935236393696	0.337388691562123	3.96239834704165	30	NA	NA	34	0.132079944901388	chr22_2828921.snp	0.173415954263361	0.207707296862578	0.834905450520091	0.410370728766691	3.96239834704165	30	NA	NA	34	0.132079944901388	0.0394472702579658	-0.119646701006193	0.198541241522125	0.81333963385337	0.248275076361188	0.084616858195638	0.411933294526738	0.00231576149266621	0.208827806103222	0.0415277973467571	0.376127814859687	0.0122374949314094	rustica.r	tytleri	0.262314779302943	115	chr22	2828922	2828921	+	1	NA	intron 	XM_040087654.1, intron 6 of 15)	mRNA-intron (XM_040087654.1, intron 6 of 15)	66238	XM_040087654.1	EBF2	XM_040087654	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr22_2828921	0.247522899528977	0.0187699257869393	0.495797975890165	0.0267229016020712	0.286970169786943	0.020090601081086	rustica dominant	1	intron 	opensea_intron	opensea	1	0.0261437908496732	0.0786516853932584	0.203125	0.290598290598291	0.0764331210191083	0.46551724137931	NA	0.330645161290323	0.346938775510204	0.329545454545455	0.25	0.325153374233129	0.5	0.355371900826446	0.111111111111111	NA	0.0303030303030303	0.351724137931034	0.0223463687150838	0.359712230215827	0.461538461538462	0.535211267605634	0.547770700636943	0.265625	0.440217391304348	0.109090909090909	0.258333333333333	0.5	0	0.453947368421053	0.364864864864865	0.349514563106796	NA	0.41304347826087	0.403973509933775	0.46875	0.238532110091743	0.190839694656489	0.302631578947368	0.556213017751479	0.470588235294118	0.430379746835443	0.336633663366337	0.421052631578947	0.45	0.311475409836066	0.240963855421687	0.582089552238806	0.1125	0.5	0.594594594594595	0.678260869565217	0.394736842105263	0.588235294117647	0.1171875	0.507352941176471	0.435643564356436	0.377049180327869	0.493975903614458	0.587837837837838	chr22	2828922	2828921	+	1	NA	intron 	XM_040087654.1, intron 6 of 15)	mRNA-intron (XM_040087654.1, intron 6 of 15)	66238	XM_040087654.1	EBF2	XM_040087654	NA	NA	NA	NA	NA	mRNA	opensea_intron 	chr22_2828921
