chr	start	end	length	nCG	areaStat	var
chr01	2424347	2424468	122	33	137.08769903394	sex.rrbsmale
chr06	35595966	35596306	341	36	-123.468753020587	sex.rrbsmale
chr13	16325134	16325229	96	23	92.1622874065782	sex.rrbsmale
chr07	36676516	36676753	238	31	-90.4801882034337	sex.rrbsmale
chr04	7976903	7977018	116	24	85.9678604496995	sex.rrbsmale
chr17	10828017	10828227	211	21	-85.5301973113163	sex.rrbsmale
chr07	29041390	29041526	137	33	-80.0255757738979	sex.rrbsmale
chr14	1919278	1919448	171	28	-75.2780406408102	sex.rrbsmale
chr12	5382319	5382463	145	31	-74.6141301196484	sex.rrbsmale
chr20	15023855	15023970	116	26	-72.5736857171408	sex.rrbsmale
chr14	15716624	15716731	108	16	-71.3897968741487	sex.rrbsmale
chr07	15872851	15872937	87	26	-69.8847192716823	sex.rrbsmale
chr17	941495	941726	232	31	69.0064979485199	sex.rrbsmale
chr08	3498417	3498528	112	17	-63.7605948564966	sex.rrbsmale
chr08	5594106	5594266	161	17	-63.7474308835757	sex.rrbsmale
chr05	60193611	60194253	643	19	63.4772250884176	sex.rrbsmale
chr02	155162491	155162603	113	23	-62.7060821226131	sex.rrbsmale
chr14	1920715	1920936	222	23	-61.9157806010931	sex.rrbsmale
chr01	38449913	38450039	127	18	56.4679778913397	sex.rrbsmale
chr03	42742850	42742977	128	18	56.0279155800272	sex.rrbsmale
chr15	9499361	9499967	607	20	-55.9881093487259	sex.rrbsmale
chr15	9501022	9501101	80	16	-52.7391789432432	sex.rrbsmale
chr19	2253483	2253595	113	16	-52.6025312737986	sex.rrbsmale
chr01A	58707324	58707418	95	16	50.4754962690701	sex.rrbsmale
chr28	2325366	2325441	76	17	47.5655080192014	sex.rrbsmale
chr27	952934	953016	83	17	46.7102511891494	sex.rrbsmale
chr18	693595	693729	135	17	46.5663857242055	sex.rrbsmale
chr26	2210280	2210421	142	12	-45.9369796922542	sex.rrbsmale
chr07	38339563	38339688	126	13	-44.4812365324659	sex.rrbsmale
chr18	11445561	11445642	82	15	-43.7970043709006	sex.rrbsmale
chr02	83335395	83335539	145	18	43.4667622023422	sex.rrbsmale
chr11	8119616	8119707	92	14	-42.0793247768828	sex.rrbsmale
chr04	62405041	62405121	81	15	41.9398028867011	sex.rrbsmale
chr28	4224946	4225073	128	13	-41.8687472496334	sex.rrbsmale
chr20	1052986	1053121	136	11	41.6218496191581	sex.rrbsmale
chr09	24867229	24867302	74	14	39.7862164855946	sex.rrbsmale
chr08	8512647	8512751	105	16	-39.5051939487536	sex.rrbsmale
chr27	5058426	5058540	115	12	-39.0163283704853	sex.rrbsmale
chr17	9936057	9936115	59	13	-39.0056186591449	sex.rrbsmale
chr14	1506770	1506849	80	14	38.9297239461225	sex.rrbsmale
chr14	15098702	15098800	99	14	37.9763574629908	sex.rrbsmale
chr02	4618582	4618643	62	14	37.9618337548282	sex.rrbsmale
chr22	3602809	3602940	132	12	36.9762671713976	sex.rrbsmale
chr26	4155269	4155401	133	11	36.6701741701269	sex.rrbsmale
chr18	11473546	11473596	51	13	36.422908093252	sex.rrbsmale
chr04A	1154658	1154776	119	11	-35.1002489523715	sex.rrbsmale
chr13	16304306	16305416	1111	9	34.2354740803015	sex.rrbsmale
chr21	5507190	5507304	115	13	33.904108991	sex.rrbsmale
chr26	6268263	6268329	67	10	33.4755803038408	sex.rrbsmale
chr07	24708934	24709067	134	13	-33.301794855877	sex.rrbsmale
chr15	9501406	9501466	61	11	-33.0198812891018	sex.rrbsmale
chr23	5831554	5831659	106	10	-32.9560739893439	sex.rrbsmale
chr08	381413	381537	125	11	31.9190658442773	sex.rrbsmale
chr22	4938391	4938538	148	9	-31.6920489620444	sex.rrbsmale
chr01A	48498011	48498077	67	11	31.5602097320427	sex.rrbsmale
chr24	1175094	1175197	104	12	-31.1952509979046	sex.rrbsmale
chr05	60195138	60195233	96	11	31.1731291925108	sex.rrbsmale
chr04	27008665	27008762	98	11	-31.0440574671659	sex.rrbsmale
chr28	3091343	3091470	128	11	30.7179953750936	sex.rrbsmale
chr27	3105974	3106031	58	10	30.6152854247982	sex.rrbsmale
chr23	3722038	3722171	134	10	30.5466717221027	sex.rrbsmale
chr24	1821343	1821910	568	10	-29.993501970857	sex.rrbsmale
chr04	7143458	7143511	54	11	-29.8446314558641	sex.rrbsmale
chr26	5305063	5305123	61	8	29.6978642783829	sex.rrbsmale
chr26	6552050	6552358	309	9	29.323666290943	sex.rrbsmale
chr04	56088132	56088234	103	8	29.2225577381181	sex.rrbsmale
chr03	16997129	16997243	115	9	-29.0945517734016	sex.rrbsmale
chr18	10885384	10885449	66	10	28.6965449724352	sex.rrbsmale
chr15	4315036	4315187	152	9	-28.1698767769498	sex.rrbsmale
chr03	12387824	12387875	52	10	28.1377453239621	sex.rrbsmale
chr11	1033197	1033271	75	9	28.0197526243205	sex.rrbsmale
chr24	5678217	5678308	92	9	27.9632253580628	sex.rrbsmale
chr28	1666540	1666671	132	7	-27.8197638859595	sex.rrbsmale
chr28	1810854	1810958	105	9	-27.7919201609315	sex.rrbsmale
chr05	58409540	58409599	60	9	-27.7763628992236	sex.rrbsmale
chr07	8729823	8729886	64	8	-27.052496275187	sex.rrbsmale
chr14	15183931	15184053	123	7	-26.9876460294001	sex.rrbsmale
chr24	1174764	1174890	127	8	-26.798595847163	sex.rrbsmale
chr11	1558221	1558276	56	8	26.7302798379958	sex.rrbsmale
chr26	5013293	5013347	55	10	-26.7064510249051	sex.rrbsmale
chr08	629416	629486	71	9	-26.3039809880476	sex.rrbsmale
chr01	28725514	28725623	110	10	-26.1878476104064	sex.rrbsmale
chr24	5185205	5185289	85	7	-26.1054007954524	sex.rrbsmale
chr09	4809519	4809607	89	11	24.8645366939882	sex.rrbsmale
chr02	69912372	69912422	51	8	-24.7707613446716	sex.rrbsmale
chr12	6175535	6175597	63	10	-24.6024592669965	sex.rrbsmale
